| Economy | COLOMBIA |
| GDP (official exchange rate): | $293.2 billion (2015 est.) |
| GDP - real growth rate: | 3.1% (2015 est.) |
| GDP - real growth rate: | 4.4% (2014 est.) |
| GDP - real growth rate: | 4.9% (2013 est.) |
| GDP - per capita (PPP): | $13,800 (2015 est.) |
| GDP - per capita (PPP): | $13,600 (2014 est.) |
| GDP - per capita (PPP): | $13,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.3% of GDP (2015 est.) |
| Gross national saving: | 21.1% of GDP (2014 est.) |
| Gross national saving: | 21.1% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 63.5% |
| GDP - composition, by end use: | government consumption: 18.2% |
| GDP - composition, by end use: | investment in fixed capital: 26.7% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 14.7% |
| GDP - composition, by end use: | imports of goods and services: -24.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.8% |
| GDP - composition, by sector of origin: | industry: 34% |
| GDP - composition, by sector of origin: | services: 59.2% (2015 est.) |
| Agriculture - products: | coffee, cut flowers, bananas, rice, tobacco, corn, sugarcane, cocoa beans, oilseed, vegetables; shrimp; forest products |
| Industries: | textiles, food processing, oil, clothing and footwear, beverages, chemicals, cement; gold, coal, emeralds |
| Industrial production growth rate: | 2% (2015 est.) |
| Labor force: | 24.17 million (2015 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 62% (2011 est.) |
| Unemployment rate: | 8.9% (2015 est.) |
| Unemployment rate: | 9.1% (2014 est.) |
| Population below poverty line: | 27.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.1% |
| Household income or consumption by percentage share: | highest 10%: 42% (2012 est.) |
| Distribution of family income - Gini index: | 53.5 (2012) |
| Distribution of family income - Gini index: | 56.9 (1996) |
| Budget: | revenues: $82.45 billion |
| Budget: | expenditures: $92.49 billion (2015 est.) |
| Taxes and other revenues: | 28.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.4% of GDP (2015 est.) |
| Public debt: | 49.6% of GDP (2015 est.) |
| Public debt: | 46% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5% (2015 est.) |
| Inflation rate (consumer prices): | 2.9% (2014 est.) |
| Central bank discount rate: | 5.75% (18 December 2015) |
| Central bank discount rate: | 4.75% (31 December 2011) |
| Commercial bank prime lending rate: | 11.45% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 10.87% (31 December 2014 est.) |
| Stock of narrow money: | $32.82 billion (31 December 2015 est.) |
| Stock of narrow money: | $39.13 billion (31 December 2014 est.) |
| Stock of broad money: | $177.5 billion (31 December 2014 est.) |
| Stock of broad money: | $161.7 billion (31 December 2013 est.) |
| Stock of domestic credit: | $133.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $150.6 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $262.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $201.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $208.5 billion (31 December 2013 est.) |
| Current account balance: | -$19.04 billion (2015 est.) |
| Current account balance: | -$19.57 billion (2014 est.) |
| Exports: | $38.12 billion (2015 est.) |
| Exports: | $56.92 billion (2014 est.) |
| Exports - commodities: | petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel |
| Exports - partners: | US 27.5%, Panama 7.2%, China 5.2%, Spain 4.4%, Ecuador 4% (2015) |
| Imports: | $52.04 billion (2015 est.) |
| Imports: | $61.55 billion (2014 est.) |
| Imports - commodities: | industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity |
| Imports - partners: | US 28.8%, China 18.6%, Mexico 7.1%, Germany 4.2% (2015) |
| Reserves of foreign exchange and gold: | $46.22 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $46.81 billion (31 December 2014 est.) |
| Debt - external: | $107.3 billion (31 December 2015 est.) |
| Debt - external: | $102.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $149.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $141.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $47.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $43.08 billion (31 December 2014 est.) |
| Exchange rates: | Colombian pesos (COP) per US dollar - |
| Exchange rates: | 2,741.8 (2015 est.) |
| Exchange rates: | 2,001.1 (2014 est.) |
| Exchange rates: | 2,001.1 (2013 est.) |
| Exchange rates: | 1,798 (2012 est.) |
| Exchange rates: | 1,848 (2011 est.) |
