| Economy | Colombia |
| Unemployment rate: | 9.3% (2017 est.) |
| Unemployment rate: | 9.2% (2016 est.) |
| Population below poverty line: | 28% (2017 est.) |
| Household income or consumption by percentage share: | lowest 10%: 39.6% (2015 est.) |
| Household income or consumption by percentage share: | highest 10%: 39.6% (2015 est.) |
| Distribution of family income - Gini index: | 51.1 (2015) |
| Distribution of family income - Gini index: | 53.5 (2014) |
| Budget: | revenues: 83.35 billion (2017 est.) |
| Budget: | expenditures: 91.73 billion (2017 est.) |
| Taxes and other revenues: | 26.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.7% (of GDP) (2017 est.) |
| Public debt: | 49.4% of GDP (2017 est.) |
| Public debt: | 49.8% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.3% (2017 est.) |
| Inflation rate (consumer prices): | 7.5% (2016 est.) |
| Central bank discount rate: | 4.75% (12 December 2017) |
| Central bank discount rate: | 7.5% (31 December 2016) |
| Commercial bank prime lending rate: | 13.69% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 14.65% (31 December 2016 est.) |
| Stock of narrow money: | $36.37 billion (31 December 2017 est.) |
| Stock of narrow money: | $34.01 billion (31 December 2016 est.) |
| Stock of broad money: | $36.37 billion (31 December 2017 est.) |
| Stock of broad money: | $34.01 billion (31 December 2016 est.) |
| Stock of domestic credit: | $173.7 billion (31 December 2017 est.) |
| Stock of domestic credit: | $153.1 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $85.96 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $146.7 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $202.7 billion (31 December 2013 est.) |
| Current account balance: | -$10.36 billion (2017 est.) |
| Current account balance: | -$12.13 billion (2016 est.) |
| Exports: | $39.48 billion (2017 est.) |
| Exports: | $31.39 billion (2016 est.) |
| Exports - partners: | US 28.5%, Panama 8.6%, China 5.1% (2017) |
| Exports - commodities: | petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel |
| Imports: | $44.24 billion (2017 est.) |
| Imports: | $43.24 billion (2016 est.) |
| Imports - commodities: | industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity |
| Imports - partners: | US 26.3%, China 19.3%, Mexico 7.5%, Brazil 5%, Germany 4.1% (2017) |
| Reserves of foreign exchange and gold: | $47.13 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $46.18 billion (31 December 2016 est.) |
| Debt - external: | $124.6 billion (31 December 2017 est.) |
| Debt - external: | $115 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $179.6 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $164.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $55.51 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $51.82 billion (31 December 2016 est.) |
| Exchange rates: | Colombian pesos (COP) per US dollar - |
| Exchange rates: | 2,957 (2017 est.) |
| Exchange rates: | 3,055.3 (2016 est.) |
| Exchange rates: | 3,055.3 (2015 est.) |
| Exchange rates: | 2,001 (2014 est.) |
| Exchange rates: | 2,001.1 (2013 est.) |
