| Economy | DENMARK |
| Exports - partners: | Germany 18.6%, Sweden 12.1%, UK 8.1%, US 6.7%, Norway 6.5%, Netherlands 4.4% (2014) |
| Imports: | $101.6 billion (2014 est.) |
| Imports: | $101.5 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| Imports - partners: | Germany 21.3%, Sweden 12.8%, Netherlands 8%, Norway 6.3%, China 6.3%, UK 4.9% (2014) |
| Reserves of foreign exchange and gold: | $85.5 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $88.67 billion (31 December 2013 est.) |
| Debt - external: | $586.7 billion (31 December 2012 est.) |
| Debt - external: | $571.4 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $136 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $147.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $266.4 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $260 billion (31 December 2013 est.) |
| Exchange rates: | Danish kroner (DKK) per US dollar - |
| Exchange rates: | 5.587 (2014 est.) |
| Exchange rates: | 5.6163 (2013 est.) |
| Exchange rates: | 5.79 (2012 est.) |
| Exchange rates: | 5.3687 (2011 est.) |
| Exchange rates: | 5.6241 (2010 est.) |
