| Economy | Denmark |
| Debt - external: | $586.7 billion (31 December 2012 est.) |
| Debt - external: | $571.4 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $146 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $147.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $248.3 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $241.7 billion (31 December 2012 est.) |
| Exchange rates: | Danish kroner (DKK) per US dollar - |
| Exchange rates: | 5.695 (2013 est.) |
| Exchange rates: | 5.7925 (2012 est.) |
| Exchange rates: | 5.6241 (2010 est.) |
| Exchange rates: | 5.361 (2009) |
| Exchange rates: | 5.0236 (2008) |
