| Economy | Denmark |
| Industries: | wind turbines, pharmaceuticals, medical equipment, shipbuilding and refurbishment, iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products |
| Industrial production growth rate: | 2.5% (2017 est.) |
| Labor force: | 2.998 million (2017 est.) |
| Labor force - by occupation: | agriculture: 2.4% |
| Labor force - by occupation: | industry: 18.3% |
| Labor force - by occupation: | services: 79.3% (2016 est.) |
| Unemployment rate: | 5.7% (2017 est.) |
| Unemployment rate: | 6.2% (2016 est.) |
| Population below poverty line: | 13.4% (2011 est.) |
| Population below poverty line: | note: excludes students |
| Household income or consumption by percentage share: | lowest 10%: 23.4% (2016 est.) |
| Household income or consumption by percentage share: | highest 10%: 23.4% (2016 est.) |
| Distribution of family income - Gini index: | 29 (2016 est.) |
| Distribution of family income - Gini index: | 27.5 (2010 est.) |
| Budget: | revenues: 172.5 billion (2017 est.) |
| Budget: | expenditures: 168.9 billion (2017 est.) |
| Taxes and other revenues: | 53% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.1% (of GDP) (2017 est.) |
| Public debt: | 35.3% of GDP (2017 est.) |
| Public debt: | 37.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.1% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017) |
| Central bank discount rate: | 0% (31 December 2016) |
| Commercial bank prime lending rate: | 2.84% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 3.25% (31 December 2016 est.) |
| Stock of narrow money: | $193.2 billion (31 December 2017 est.) |
| Stock of narrow money: | $159.3 billion (31 December 2016 est.) |
| Stock of broad money: | $193.2 billion (31 December 2017 est.) |
| Stock of broad money: | $159.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $693.8 billion (31 December 2017 est.) |
| Stock of domestic credit: | $630.5 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $361.2 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $352 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $271.4 billion (31 December 2014 est.) |
| Current account balance: | $24.82 billion (2017 est.) |
| Current account balance: | $22.47 billion (2016 est.) |
| Exports: | $113.6 billion (2017 est.) |
| Exports: | $103.6 billion (2016 est.) |
| Exports - partners: | Germany 15.5%, Sweden 11.6%, UK 8.2%, US 7.5%, Norway 6%, China 4.4%, Netherlands 4.4% (2017) |
| Exports - commodities: | wind turbines, pharmaceuticals, machinery and instruments, meat and meat products, dairy products, fish, furniture and design |
| Imports: | $94.93 billion (2017 est.) |
| Imports: | $86.81 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| Imports - partners: | Germany 21.3%, Sweden 11.9%, Netherlands 7.8%, China 7.1%, Norway 6.3%, Poland 4% (2017) |
| Reserves of foreign exchange and gold: | $75.25 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $64.25 billion (31 December 2016 est.) |
| Debt - external: | $484.8 billion (31 March 2016 est.) |
| Debt - external: | $519.8 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $188.7 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $147.9 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $287.9 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $235.4 billion (31 December 2016 est.) |
| Exchange rates: | Danish kroner (DKK) per US dollar - |
| Exchange rates: | 6.586 (2017 est.) |
| Exchange rates: | 6.7309 (2016 est.) |
| Exchange rates: | 6.7309 (2015 est.) |
| Exchange rates: | 6.7236 (2014 est.) |
| Exchange rates: | 5.6125 (2013 est.) |
