| Economy | DENMARK |
| Market value of publicly traded shares: | $224.9 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $179.5 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $231.7 billion (31 December 2010 est.) |
| Current account balance: | $24.09 billion (2016 est.) |
| Current account balance: | $27.58 billion (2015 est.) |
| Exports: | $103.6 billion (2016 est.) |
| Exports: | $102.6 billion (2015 est.) |
| Exports - commodities: | machinery and instruments, meat and meat products, dairy products, fish, pharmaceuticals, furniture and design, windmills |
| Exports - partners: | Germany 16.3%, Sweden 11.9%, US 8.2%, UK 6.5%, Norway 6.1%, Netherlands 5.1%, China 4.4% (2016) |
| Imports: | $86.39 billion (2016 est.) |
| Imports: | $87.55 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| Imports - partners: | Germany 21.4%, Sweden 12.2%, Netherlands 8%, China 7.3%, Norway 5.5%, UK 4.2% (2016) |
| Reserves of foreign exchange and gold: | $64.25 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $65.19 billion (31 December 2015 est.) |
| Debt - external: | $484.8 billion (31 March 2016 est.) |
| Debt - external: | $519.8 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $147.9 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $145.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $235.4 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $230.3 billion (31 December 2015 est.) |
| Exchange rates: | Danish kroner (DKK) per US dollar - |
| Exchange rates: | 6.7309 (2016 est.) |
| Exchange rates: | 6.7309 (2015 est.) |
| Exchange rates: | 6.7236 (2014 est.) |
| Exchange rates: | 5.6125 (2013 est.) |
| Exchange rates: | 5.79 (2012 est.) |
