| Economy | Denmark |
| GDP - composition, by sector of origin: | agriculture: 1.5% |
| GDP - composition, by sector of origin: | industry: 21.4% |
| GDP - composition, by sector of origin: | services: 77.1% (2012 est.) |
| Agriculture - products: | barley, wheat, potatoes, sugar beets; pork, dairy products; fish |
| Industries: | iron, steel, nonferrous metals, chemicals, food processing, machinery and transportation equipment, textiles and clothing, electronics, construction, furniture and other wood products, shipbuilding and refurbishment, windmills, pharmaceuticals, medical equipment |
| Industrial production growth rate: | -0.8% (2012 est.) |
| Labor force: | 2.784 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2.6% |
| Labor force - by occupation: | industry: 20.3% |
| Labor force - by occupation: | services: 77.1% (2011 est.) |
| Unemployment rate: | 6% (2012 est.) |
| Unemployment rate: | 6% (2011 est.) |
| Population below poverty line: | 13.4% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 28.7% (2007) |
| Distribution of family income - Gini index: | 24.8 (2011 est.) |
| Distribution of family income - Gini index: | 24.7 (1992) |
| Budget: | revenues: $174.1 billion |
| Budget: | expenditures: $187 billion (2012 est.) |
| Taxes and other revenues: | 56% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.1% of GDP (2012 est.) |
| Public debt: | 45.6% of GDP (2012 est.) |
| Public debt: | 46.4% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.4% (2012 est.) |
| Inflation rate (consumer prices): | 2.8% (2011 est.) |
| Central bank discount rate: | 0.75% (31 December 2011 est.) |
| Central bank discount rate: | 0.75% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 3.6% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 4.03% (31 December 2011 est.) |
| Stock of narrow money: | $150.4 billion (31 December 2012 est.) |
| Stock of narrow money: | $134.9 billion (31 December 2011 est.) |
| Stock of broad money: | $230.8 billion (31 December 2011 est.) |
| Stock of broad money: | $266.8 billion (31 December 2010 est.) |
| Stock of domestic credit: | $664.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $640.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $179.5 billion (31 December 2011) |
| Market value of publicly traded shares: | $231.7 billion (31 December 2010) |
| Market value of publicly traded shares: | $186.9 billion (31 December 2009) |
| Current account balance: | $17.44 billion (2012 est.) |
| Current account balance: | $18.89 billion (2011 est.) |
| Exports: | $104.9 billion (2012 est.) |
| Exports: | $110.6 billion (2011 est.) |
| Exports - commodities: | machinery and instruments, meat and meat products, dairy products, fish, pharmaceuticals, furniture, windmills |
| Exports - partners: | Germany 15.9%, Sweden 13.5%, UK 9.6%, US 6.6%, Norway 6.3%, Netherlands 4.6% (2012) |
| Imports: | $96.77 billion (2012 est.) |
| Imports: | $100.3 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods |
| Imports - partners: | Germany 21.2%, Sweden 13.5%, Netherlands 7.5%, China 6.4%, Norway 6.3%, UK 5.6% (2012) |
| Reserves of foreign exchange and gold: | $89.7 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $85.05 billion (31 December 2011 est.) |
| Debt - external: | $587.6 billion (31 December 2012) |
| Debt - external: | $571.4 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $147.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $140.3 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $241.7 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $229 billion (31 December 2011 est.) |
| Exchange rates: | Danish kroner (DKK) per US dollar - |
| Exchange rates: | 5.79 (2012 est.) |
| Exchange rates: | 5.37 (2011 est.) |
| Exchange rates: | 5.62 (2010 est.) |
| Exchange rates: | 5.36 (2009) |
| Exchange rates: | 5.02 (2008) |
