| Economy | CAMBODIA |
| Stock of broad money: | $8.236 billion (31 December 2013 est.) |
| Stock of domestic credit: | $7.37 billion (31 December 2014 est.) |
| Stock of domestic credit: | $6.184 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.853 billion (2014 est.) |
| Current account balance: | -$1.639 billion (2013 est.) |
| Exports: | $7.569 billion (2014 est.) |
| Exports: | $6.89 billion (2013 est.) |
| Exports - commodities: | clothing, timber, rubber, rice, fish, tobacco, footwear |
| Exports - partners: | US 24.1%, UK 8.7%, Germany 8.1%, Canada 7%, Japan 6.5%, Vietnam 5.3%, Thailand 5%, Netherlands 4.6%, China 4.1% (2014) |
| Imports: | $10.58 billion (2014 est.) |
| Imports: | $9.489 billion (2013 est.) |
| Imports - commodities: | petroleum products, cigarettes, gold, construction materials, machinery, motor vehicles, pharmaceutical products |
| Imports - partners: | Thailand 28.1%, China 20.6%, Vietnam 16.8%, Singapore 7%, Hong Kong 5.7%, South Korea 4.1% (2014) |
| Reserves of foreign exchange and gold: | $5.801 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $4.995 billion (31 December 2013 est.) |
| Debt - external: | $5.631 billion (2014 est.) |
| Debt - external: | $5.124 billion (2013 est.) |
| Stock of direct foreign investment - at home: | $29.17 billion (2014 est.) |
| Exchange rates: | riels (KHR) per US dollar - |
| Exchange rates: | 4,075 (2014 est.) |
| Exchange rates: | 3,995 (2013 est.) |
| Exchange rates: | 4,033 (2012 est.) |
| Exchange rates: | 4,058.5 (2011 est.) |
| Exchange rates: | 4,184.9 (2010 est.) |
