| Economy | CAMBODIA |
| Agriculture - products: | rice, rubber, corn, vegetables, cashews, cassava (manioc, tapioca), silk |
| Industries: | tourism, garments, construction, rice milling, fishing, wood and wood products, rubber, cement, gem mining, textiles |
| Industrial production growth rate: | 11.7% (2015 est.) |
| Labor force: | 7.974 million (2013 est.) |
| Labor force - by occupation: | agriculture: 48.7% |
| Labor force - by occupation: | industry: 19.9% |
| Labor force - by occupation: | services: 31.5% (2013 est.) |
| Unemployment rate: | 0.3% (2013 est.) |
| Unemployment rate: | 0.2% (2012 est.) |
| Unemployment rate: | note: according to official statistics; underemployment is high |
| Population below poverty line: | 17.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 28% (2013 est.) |
| Distribution of family income - Gini index: | 37.9 (2008 est.) |
| Distribution of family income - Gini index: | 41.9 (2004 est.) |
| Budget: | revenues: $2.983 billion |
| Budget: | expenditures: $3.208 billion (2015 est.) |
| Taxes and other revenues: | 16.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.2% of GDP (2015 est.) |
| Public debt: | 33.9% of GDP (2014 est.) |
| Public debt: | 33.4% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2015 est.) |
| Inflation rate (consumer prices): | 3.9% (2014 est.) |
| Central bank discount rate: | NA% (31 December 2012) |
| Central bank discount rate: | 5.25% (31 December 2007) |
| Commercial bank prime lending rate: | 11.71% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 12.31% (31 December 2014 est.) |
| Stock of narrow money: | $1.602 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.482 billion (31 December 2014 est.) |
| Stock of broad money: | $11.82 billion (31 December 2015 est.) |
| Stock of broad money: | $10.47 billion (31 December 2014 est.) |
| Stock of domestic credit: | $9.776 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.842 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$2.042 billion (2015 est.) |
| Current account balance: | -$2.032 billion (2014 est.) |
| Exports: | $8.453 billion (2015 est.) |
| Exports: | $7.445 billion (2014 est.) |
| Exports - commodities: | clothing, timber, rubber, rice, fish, tobacco, footwear |
| Exports - partners: | US 23.1%, UK 8.8%, Germany 8.2%, Japan 7.4%, Canada 6.7%, China 5.1%, Vietnam 5%, Thailand 4.9%, Netherlands 4.1% (2015) |
| Imports: | $11.92 billion (2015 est.) |
| Imports: | $10.67 billion (2014 est.) |
| Imports - commodities: | petroleum products, cigarettes, gold, construction materials, machinery, motor vehicles, pharmaceutical products |
| Imports - partners: | Thailand 28.7%, China 22.2%, Vietnam 16.4%, Hong Kong 6.1%, Singapore 5.7% (2015) |
| Reserves of foreign exchange and gold: | $7.376 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $6.106 billion (31 December 2014 est.) |
| Debt - external: | $7.483 billion (31 December 2015 est.) |
| Debt - external: | $6.811 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $29.17 billion (2014 est.) |
| Exchange rates: | riels (KHR) per US dollar - |
| Exchange rates: | 4,067.75 (2015 est.) |
| Exchange rates: | 4,037.5 (2014 est.) |
| Exchange rates: | 4,037.5 (2013 est.) |
| Exchange rates: | 4,033 (2012 est.) |
| Exchange rates: | 4,058.5 (2011 est.) |
