| Economy | ANGOLA |
| GDP - composition, by sector of origin: | industry: 61.4% |
| GDP - composition, by sector of origin: | services: 28.4% (2011 est.) |
| Agriculture - products: | bananas, sugarcane, coffee, sisal, corn, cotton, cassava (manioc, tapioca), tobacco, vegetables, plantains; livestock; forest products; fish |
| Industries: | petroleum; diamonds, iron ore, phosphates, feldspar, bauxite, uranium, and gold; cement; basic metal products; fish processing; food processing, brewing, tobacco products, sugar; textiles; ship repair |
| Industrial production growth rate: | 1.9% (2015 est.) |
| Labor force: | 10.51 million (2015 est.) |
| Labor force - by occupation: | agriculture: 85% |
| Labor force - by occupation: | industry and services: 15% (2003 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 40.5% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.6% |
| Household income or consumption by percentage share: | highest 10%: 44.7% (2000) |
| Budget: | revenues: $33.19 billion |
| Budget: | expenditures: $38.53 billion (2015 est.) |
| Taxes and other revenues: | 32.2% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2015 est.) |
| Public debt: | 57.3% of GDP (2015 est.) |
| Public debt: | 34.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 10.3% (2015 est.) |
| Inflation rate (consumer prices): | 7.3% (2014 est.) |
| Central bank discount rate: | 9% (31 December 2014) |
| Central bank discount rate: | 25% (31 December 2010) |
| Commercial bank prime lending rate: | 16.88% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 16.38% (31 December 2014 est.) |
| Stock of narrow money: | $25.27 billion (31 December 2015 est.) |
| Stock of narrow money: | $30.11 billion (31 December 2014 est.) |
| Stock of broad money: | $51.71 billion (31 December 2014 est.) |
| Stock of broad money: | $45.06 billion (31 December 2013 est.) |
| Stock of domestic credit: | $17.18 billion (31 December 2015 est.) |
| Stock of domestic credit: | $23.12 billion (31 December 2014 est.) |
| Current account balance: | -$8.748 billion (2015 est.) |
| Current account balance: | -$3.722 billion (2014 est.) |
| Exports: | $35.55 billion (2015 est.) |
| Exports: | $59.17 billion (2014 est.) |
| Exports - commodities: | crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton |
| Exports - partners: | China 43.8%, India 9.6%, US 7.7%, Spain 6.2%, South Africa 4.8%, France 4.4% (2015) |
| Imports: | $21.15 billion (2015 est.) |
| Imports: | $28.59 billion (2014 est.) |
| Imports - commodities: | machinery and electrical equipment, vehicles and spare parts; medicines, food, textiles, military goods |
| Imports - partners: | China 22.1%, Portugal 13.8%, South Korea 11%, US 6.9%, South Africa 5%, UK 4.1%, France 4% (2015) |
| Reserves of foreign exchange and gold: | $24.08 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $28.13 billion (31 December 2014 est.) |
| Debt - external: | $33.83 billion (31 December 2015 est.) |
| Debt - external: | $28.45 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $13.01 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $10.57 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $22.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $21.35 billion (31 December 2014 est.) |
| Exchange rates: | kwanza (AOA) per US dollar - |
| Exchange rates: | 120.061 (2015 est.) |
| Exchange rates: | 98.303 (2014 est.) |
| Exchange rates: | 98.303 (2013 est.) |
| Exchange rates: | 95.47 (2012 est.) |
| Exchange rates: | 93.741 (2011 est.) |
