| Economy | ANGOLA |
| Reserves of foreign exchange and gold: | $23.74 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $23.79 billion (31 December 2015 est.) |
| Debt - external: | $27.14 billion (31 December 2016 est.) |
| Debt - external: | $27.99 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $9.16 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.126 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $23.02 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $22.4 billion (31 December 2015 est.) |
| Exchange rates: | kwanza (AOA) per US dollar - |
| Exchange rates: | 172 (2016 est.) |
| Exchange rates: | 120.06 (2015 est.) |
| Exchange rates: | 120.06 (2014 est.) |
| Exchange rates: | 98.3 (2013 est.) |
| Exchange rates: | 95.47 (2012 est.) |
