| Economy | ITALY |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2012 est.) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Budget: | revenues: $872.6 billion |
| Budget: | expenditures: $917.7 billion (2016 est.) |
| Taxes and other revenues: | 47.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2016 est.) |
| Public debt: | 132.5% of GDP (2016 est.) |
| Public debt: | 132.1% of GDP (2015 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.1% (2016 est.) |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | 0.75% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.13% (31 December 2015 est.) |
| Stock of narrow money: | $1.101 trillion (31 December 2016 est.) |
| Stock of narrow money: | $1.027 trillion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.519 trillion (31 December 2016 est.) |
| Stock of broad money: | $1.497 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $3.024 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $3.053 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $587.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $615.5 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $480.5 billion (31 December 2012 est.) |
| Current account balance: | $47.31 billion (2016 est.) |
| Current account balance: | $26.12 billion (2015 est.) |
| Exports: | $454.1 billion (2016 est.) |
| Exports: | $449.6 billion (2015 est.) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| Exports - partners: | Germany 12.6%, France 10.5%, US 8.9%, UK 5.4%, Spain 5%, Switzerland 4.6% (2016) |
| Imports: | $387.1 billion (2016 est.) |
| Imports: | $393.4 billion (2015 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| Imports - partners: | Germany 16.3%, France 8.9%, China 7.5%, Netherlands 5.5%, Spain 5.3%, Belgium 4.9% (2016) |
| Reserves of foreign exchange and gold: | $136 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $130.6 billion (31 December 2015 est.) |
| Debt - external: | $2.444 trillion (31 March 2016 est.) |
| Debt - external: | $2.3 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $471.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $457.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $584.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $587.3 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
