| Economy | Italy |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Inflation rate (consumer prices): | 2.9% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 4.2% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 4.6% (31 December 2011 est.) |
| Stock of narrow money: | $1.137 trillion (31 December 2012 est.) |
| Stock of narrow money: | $1.147 trillion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.944 trillion (31 December 2012 est.) |
| Stock of broad money: | $1.957 trillion (31 December 2011 est.) |
| Stock of domestic credit: | $3.122 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.209 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $431.5 billion (31 December 2011) |
| Market value of publicly traded shares: | $318.1 billion (31 December 2010) |
| Market value of publicly traded shares: | $317.3 billion (31 December 2009) |
| Agriculture - products: | fruits, vegetables, grapes, potatoes, sugar beets, soybeans, grain, olives; beef, dairy products; fish |
| Industrial production growth rate: | 0.2% (2011 est.) |
| Current account balance: | -$30.3 billion (2012 est.) |
| Current account balance: | -$71.87 billion (2011 est.) |
| Exports: | $483.3 billion (2012 est.) |
| Exports: | $524.9 billion (2011 est.) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; food, beverages and tobacco; minerals, and nonferrous metals |
| Exports - partners: | Germany 13.3%, France 11.8%, US 5.9%, Spain 5.4%, Switzerland 5.4%, UK 4.7% (2011) |
| Imports: | $469.7 billion (2012 est.) |
| Imports: | $549.6 billion (2011 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, and tobacco |
| Imports - partners: | Germany 16.5%, France 8.8%, China 7.7%, Netherlands 5.5%, Spain 4.7% (2011) |
| Reserves of foreign exchange and gold: | $173.3 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | $158.9 billion (2010 est.) |
| Debt - external: | $2.46 trillion (30 June 2012 est.) |
| Debt - external: | $2.684 trillion (30 June 2011 est.) |
| Stock of direct foreign investment - at home: | $369.5 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $338.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $537 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $492.2 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
