| Economy | ITALY |
| Public debt: | 134.1% of GDP (2014 est.) |
| Public debt: | 132.6% of GDP (2013 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.2% (2014 est.) |
| Inflation rate (consumer prices): | 1.3% (2013 est.) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | 0.75% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.1% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.14% (31 December 2013 est.) |
| Stock of narrow money: | $1.185 trillion (31 December 2014 est.) |
| Stock of narrow money: | $1.264 trillion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.134 trillion (31 December 2014 est.) |
| Stock of broad money: | $2.284 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.319 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $3.613 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $480.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $431.5 billion (31 December 2011) |
| Market value of publicly traded shares: | $318.1 billion (31 December 2010 est.) |
| Current account balance: | $38.94 billion (2014 est.) |
| Current account balance: | $20.88 billion (2013 est.) |
| Exports: | $500.3 billion (2014 est.) |
| Exports: | $501.7 billion (2013 est.) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| Exports - partners: | Germany 12.8%, France 10.7%, US 7.2%, UK 5.3%, Switzerland 4.7%, Spain 4.6% (2014) |
| Imports: | $448.3 billion (2014 est.) |
| Imports: | $453.6 billion (2013 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| Imports - partners: | Germany 16.1%, France 9%, China 7.3%, Netherlands 5.8%, Spain 5%, Belgium 4.5% (2014) |
| Reserves of foreign exchange and gold: | $145.5 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $145.5 billion (31 December 2013 est.) |
| Debt - external: | $2.604 trillion (31 December 2013 est.) |
| Debt - external: | $2.516 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $552.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $538.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $763.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $733.2 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
