| Economy | New Zealand |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 36.2 (1997) |
| Budget: | revenues: $69.17 billion |
| Budget: | expenditures: $72.65 billion (2013 est.) |
| Taxes and other revenues: | 38.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2013 est.) |
| Public debt: | 38.4% of GDP (2013 est.) |
| Public debt: | 38.1% of GDP (2012 est.) |
| Fiscal year: | 1 April - 31 March |
| Fiscal year: | note: this is the fiscal year for tax purposes |
| Inflation rate (consumer prices): | 1.3% (2013 est.) |
| Inflation rate (consumer prices): | 1.1% (2012 est.) |
| Central bank discount rate: | 2.5% (31 December 2009) |
| Central bank discount rate: | 5% (31 December 2008) |
| Commercial bank prime lending rate: | 5.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.82% (31 December 2012 est.) |
| Stock of narrow money: | $30.03 billion (31 December 2013 est.) |
| Stock of narrow money: | $29.87 billion (31 December 2012 est.) |
| Stock of broad money: | $91.28 billion (31 December 2013 est.) |
| Stock of broad money: | $84.55 billion (31 December 2012 est.) |
| Stock of domestic credit: | $256.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $265.6 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $NA (31 December 2012 est.) |
| Market value of publicly traded shares: | $71.66 billion (31 December 2011) |
| Market value of publicly traded shares: | $71.83 billion (31 December 2010 est.) |
| Current account balance: | -$8.358 billion (2013 est.) |
| Current account balance: | -$8.508 billion (2012 est.) |
| Exports: | $37.84 billion (2013 est.) |
| Exports: | $37.87 billion (2012 est.) |
| Exports - commodities: | dairy products, meat, wood and wood products, fish, machinery |
| Exports - partners: | Australia 21.1%, China 15%, US 9.2%, Japan 7% (2012) |
| Imports: | $37.35 billion (2013 est.) |
| Imports: | $37.04 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, vehicles, aircraft, petroleum, electronics, textiles, plastics |
| Imports - partners: | China 16.4%, Australia 15.2%, US 9.3%, Japan 6.5%, Singapore 4.8%, Germany 4.4% (2012) |
| Reserves of foreign exchange and gold: | $20.01 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $17.58 billion (31 December 2012 est.) |
| Debt - external: | $81.36 billion (31 December 2013 est.) |
| Debt - external: | $85.18 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $84.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $81.36 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $59.08 billion (31 December 2009) |
| Exchange rates: | New Zealand dollars (NZD) per US dollar - |
| Exchange rates: | 1.247 (2013 est.) |
| Exchange rates: | 1.2334 (2012 est.) |
| Exchange rates: | 1.3874 (2010 est.) |
| Exchange rates: | 1.6002 (2009) |
| Exchange rates: | 1.4151 (2008) |
