| Economy | AUSTRIA |
| Labor force - by occupation: | agriculture: 0.7% |
| Labor force - by occupation: | industry: 25.3% |
| Labor force - by occupation: | services: 74% (2015 est.) |
| Unemployment rate: | 6% (2016 est.) |
| Unemployment rate: | 5.7% (2015 est.) |
| Population below poverty line: | 4% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 23.5% (2012 est.) |
| Distribution of family income - Gini index: | 29.2 (2013) |
| Distribution of family income - Gini index: | 26.3 (2007) |
| Budget: | revenues: $191.5 billion |
| Budget: | expenditures: $197.5 billion (2016 est.) |
| Taxes and other revenues: | 49.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -1.6% of GDP (2016 est.) |
| Public debt: | 84.6% of GDP (2016 est.) |
| Public debt: | 85.5% of GDP (2015 est.) |
| Public debt: | note: this is general government gross debt, defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year; it covers the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; as a percentage of GDP, the GDP used as a denominator is the gross domestic product in current year prices |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1% (2016 est.) |
| Inflation rate (consumer prices): | 0.8% (2015 est.) |
| Commercial bank prime lending rate: | 1.86% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2% (31 December 2015 est.) |
| Stock of narrow money: | $214 billion (31 December 2016 est.) |
| Stock of narrow money: | $193.9 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $326.2 billion (31 December 2016 est.) |
| Stock of broad money: | $317.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $489.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $462.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $96.08 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $96.79 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $117.7 billion (31 December 2013 est.) |
| Current account balance: | $6.642 billion (2016 est.) |
| Current account balance: | $7.244 billion (2015 est.) |
| Exports: | $142.8 billion (2016 est.) |
| Exports: | $142.1 billion (2015 est.) |
| Exports - commodities: | machinery and equipment, motor vehicles and parts, paper and paperboard, metal goods, chemicals, iron and steel, textiles, foodstuffs |
| Exports - partners: | Germany 29.9%, US 6.3%, Italy 6.2%, Switzerland 5.7%, Slovakia 4.4% (2016) |
| Imports: | $143 billion (2016 est.) |
| Imports: | $140.4 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products, natural gas; foodstuffs |
| Imports - partners: | Germany 42.5%, Italy 6%, Switzerland 5.6%, Czech Republic 4.4%, Netherlands 4% (2016) |
| Reserves of foreign exchange and gold: | $23.36 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $22.24 billion (31 December 2015 est.) |
| Debt - external: | $689.1 billion (31 March 2016 est.) |
| Debt - external: | $679.3 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $242.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $300.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $300.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $349.7 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
