| Economy | AUSTRIA |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.3% |
| GDP - composition, by sector of origin: | industry: 28.4% |
| GDP - composition, by sector of origin: | services: 70.2% (2014 est.) |
| Agriculture - products: | grains, potatoes, wine, fruit; dairy products, cattle, pigs, poultry; lumber |
| Industries: | construction, machinery, vehicles and parts, food, metals, chemicals, lumber and wood, paper and paperboard, communications equipment, tourism |
| Industrial production growth rate: | 1.8% (2014 est.) |
| Labor force: | 3.86 million (2014 est.) |
| Labor force - by occupation: | agriculture: 5.5% |
| Labor force - by occupation: | industry: 26% |
| Labor force - by occupation: | services: 68.5% (2012 est.) |
| Unemployment rate: | 5.6% (2014 est.) |
| Unemployment rate: | 5.4% (2013 est.) |
| Population below poverty line: | 4.2% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 22% (2011 est.) |
| Distribution of family income - Gini index: | 26.3 (2007) |
| Distribution of family income - Gini index: | 31 (1995) |
| Budget: | revenues: $218.1 billion |
| Budget: | expenditures: $228.6 billion (2014 est.) |
| Taxes and other revenues: | 50% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2014 est.) |
| Public debt: | 84.5% of GDP (2014 est.) |
| Public debt: | 80.9% of GDP (2013 est.) |
| Public debt: | note: this is general government gross debt, defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year; it covers the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; as a percentage of GDP, the GDP used as a denominator is the gross domestic product in current year prices |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.6% (2014 est.) |
| Inflation rate (consumer prices): | 2% (2013 est.) |
| Commercial bank prime lending rate: | 2.1% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 2.21% (31 December 2013 est.) |
| Stock of narrow money: | $222.6 billion (31 December 2014 est.) |
| Stock of narrow money: | $225.8 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $428.9 billion (31 December 2014 est.) |
| Stock of broad money: | $439.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $539.7 billion (31 December 2014 est.) |
| Stock of domestic credit: | $559.3 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $106 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $82.37 billion (31 December 2011) |
| Market value of publicly traded shares: | $67.68 billion (31 December 2010 est.) |
| Current account balance: | $7.967 billion (2014 est.) |
| Current account balance: | $11.25 billion (2013 est.) |
| Exports: | $170.1 billion (2014 est.) |
| Exports: | $167.3 billion (2013 est.) |
| Exports - commodities: | machinery and equipment, motor vehicles and parts, paper and paperboard, metal goods, chemicals, iron and steel, textiles, foodstuffs |
| Exports - partners: | Germany 30.4%, Italy 6.5%, France 5%, US 4.7%, Switzerland 4.5%, Slovakia 4.2% (2014) |
| Imports: | $172.5 billion (2014 est.) |
| Imports: | $173.8 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products; foodstuffs |
| Imports - partners: | Germany 41.9%, Italy 6.5%, Switzerland 4.6%, Czech Republic 4.3%, Netherlands 4.1% (2014) |
| Reserves of foreign exchange and gold: | $23.29 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $23.29 billion (31 December 2013 est.) |
| Debt - external: | $820 billion (31 December 2013 est.) |
| Debt - external: | $812 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $300.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $286.3 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $365.7 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $346.5 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
