| Economy | BAHRAIN |
| Inflation rate (consumer prices): | 2.7% (2014 est.) |
| Commercial bank prime lending rate: | 5.16% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 5.87% (31 December 2014 est.) |
| Stock of narrow money: | $8.762 billion (31 December 2015 est.) |
| Stock of narrow money: | $8.232 billion (31 December 2014 est.) |
| Stock of broad money: | $27 billion (31 December 2015 est.) |
| Stock of broad money: | $25.95 billion (31 December 2014 est.) |
| Stock of domestic credit: | $28.29 billion (31 December 2015 est.) |
| Stock of domestic credit: | $25.44 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $22.1 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $18.57 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $15.65 billion (31 December 2013 est.) |
| Current account balance: | -$987 million (2015 est.) |
| Current account balance: | $1.523 billion (2014 est.) |
| Exports: | $14.2 billion (2015 est.) |
| Exports: | $20.75 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products, aluminum, textiles |
| Exports - partners: | Saudi Arabia 3.6%, UAE 2.4%, US 2.2% (2015) |
| Imports: | $8.848 billion (2015 est.) |
| Imports: | $13.32 billion (2014 est.) |
| Imports - commodities: | crude oil, machinery, chemicals |
| Imports - partners: | Saudi Arabia 29.1%, US 9.5%, China 7.6%, Japan 6.6%, Australia 5.1%, India 4.9% (2015) |
| Reserves of foreign exchange and gold: | $4.657 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $6.049 billion (31 December 2014 est.) |
| Debt - external: | $19.74 billion (31 December 2015 est.) |
| Debt - external: | $18.88 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $17.31 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $18.77 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $11.22 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $10.72 billion (31 December 2014 est.) |
| Exchange rates: | Bahraini dinars (BHD) per US dollar - |
| Exchange rates: | 0.376 (2015 est.) |
| Exchange rates: | 0.376 (2014 est.) |
| Exchange rates: | 0.376 (2013 est.) |
| Exchange rates: | 0.376 (2012 est.) |
| Exchange rates: | 0.376 (2011 est.) |
