| Economy | Malaysia |
| Stock of domestic credit: | $482.7 billion (31 December 2017 est.) |
| Stock of domestic credit: | $398.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $383 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $459 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $500.4 billion (31 December 2013 est.) |
| Current account balance: | $9.296 billion (2017 est.) |
| Current account balance: | $7.236 billion (2016 est.) |
| Exports: | $187.9 billion (2017 est.) |
| Exports: | $165.3 billion (2016 est.) |
| Exports - partners: | Singapore 15.1%, China 12.6%, US 9.4%, Japan 8.2%, Thailand 5.7%, Hong Kong 4.5% (2017) |
| Exports - commodities: | semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels |
| Imports: | $160.7 billion (2017 est.) |
| Imports: | $141 billion (2016 est.) |
| Imports - commodities: | electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals |
| Imports - partners: | China 19.9%, Singapore 10.8%, US 8.4%, Japan 7.6%, Thailand 5.8%, South Korea 4.5%, Indonesia 4.4% (2017) |
| Reserves of foreign exchange and gold: | $102.4 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $94.5 billion (31 December 2016 est.) |
| Debt - external: | $217.2 billion (31 December 2017 est.) |
| Debt - external: | $195.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $139.5 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $121.6 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $128.5 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $126.9 billion (31 December 2016 est.) |
| Exchange rates: | ringgits (MYR) per US dollar - |
| Exchange rates: | 4.343 (2017 est.) |
| Exchange rates: | 4.15 (2016 est.) |
| Exchange rates: | 4.15 (2015 est.) |
| Exchange rates: | 3.91 (2014 est.) |
| Exchange rates: | 3.27 (2013 est.) |
