| Economy | Malaysia |
| Market value of publicly traded shares: | $414 billion (31 December 2011) |
| Market value of publicly traded shares: | $410.5 billion (31 December 2010) |
| Market value of publicly traded shares: | $256 billion (31 December 2009) |
| Current account balance: | $18.64 billion (2012 est.) |
| Current account balance: | $33.51 billion (2011 est.) |
| Exports: | $227.7 billion (2012 est.) |
| Exports: | $228.6 billion (2011 est.) |
| Exports - commodities: | semiconductors and electronic equipment, palm oil, petroleum and liquefied natural gas, wood and wood products, palm oil, rubber, textiles, chemicals, solar panels |
| Exports - partners: | Singapore 13.6%, China 12.6%, Japan 11.8%, US 8.7%, Thailand 5.4%, Hong Kong 4.3%, India 4.2%, Australia 4.1% (2012) |
| Imports: | $186.9 billion (2012 est.) |
| Imports: | $179.1 billion (2011 est.) |
| Imports - commodities: | electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals |
| Imports - partners: | China 15.1%, Singapore 13.3%, Japan 10.3%, US 8.1%, Thailand 6%, Indonesia 5.1%, South Korea 4.1% (2012) |
| Reserves of foreign exchange and gold: | $139.7 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $133.6 billion (31 December 2011 est.) |
| Debt - external: | $98.82 billion (31 December 2012 est.) |
| Debt - external: | $94.47 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $132.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $114.6 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $120.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $106.2 billion (31 December 2011 est.) |
| Exchange rates: | ringgits (MYR) per US dollar - |
| Exchange rates: | 3.09 (2012 est.) |
| Exchange rates: | 3.06 (2011 est.) |
| Exchange rates: | 3.22 (2010 est.) |
| Exchange rates: | 3.52 (2009) |
| Exchange rates: | 3.33 (2008) |
