| Economy | Sri Lanka |
| Household income or consumption by percentage share: | highest 10%: 39.5% (2009) |
| Distribution of family income - Gini index: | 49 (2010) |
| Distribution of family income - Gini index: | 46 (1995) |
| Budget: | revenues: $8.43 billion |
| Budget: | expenditures: $12.57 billion (2013 est.) |
| Taxes and other revenues: | 12.9% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.4% of GDP (2013 est.) |
| Public debt: | 78.4% of GDP (2013 est.) |
| Public debt: | 79.1% of GDP (2012 est.) |
| Public debt: | note: covers central government debt, and excludes debt instruments directly owned by government entities other than the treasury (e.g. commercial bank borrowings of a government corporation); the data includes treasury debt held by foreign entities as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement; sub-national entities are usually not permitted to sell debt instruments |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.7% (2013 est.) |
| Inflation rate (consumer prices): | 9.2% (2012 est.) |
| Central bank discount rate: | 6.5% (31 December 2013 est.) |
| Central bank discount rate: | 7.5% (19 December 2012 est.) |
| Commercial bank prime lending rate: | 9.88% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 14.4% (31 December 2012 est.) |
| Stock of narrow money: | $3.629 billion (31 December 2013 est.) |
| Stock of narrow money: | $3.539 billion (31 December 2012 est.) |
| Stock of broad money: | $23.55 billion (31 December 2013 est.) |
| Stock of broad money: | $20.39 billion (31 December 2012 est.) |
| Stock of domestic credit: | $32.98 billion (31 December 2013 est.) |
| Stock of domestic credit: | $28.86 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $18.48 billion (31 November 2013 est.) |
| Market value of publicly traded shares: | $17.05 billion (31 December 2012) |
| Market value of publicly traded shares: | $19.44 billion (31 December 2011 est.) |
| Current account balance: | -$2.452 billion (2013 est.) |
| Current account balance: | -$3.931 billion (2012 est.) |
| Exports: | $10.39 billion (2013 est.) |
| Exports: | $9.774 billion (2012 est.) |
| Exports - commodities: | textiles and apparel, tea and spices; rubber manufactures; precious stones; coconut products, fish |
| Exports - partners: | US 20.4%, UK 9.9%, India 5.8%, Italy 4.7%, Belgium 4.3%, Germany 4.3% (2012) |
| Imports: | $18 billion (2013 est.) |
| Imports: | $19.19 billion (2012 est.) |
| Imports - commodities: | petroleum, textiles, machinery and transportation equipment, building materials, mineral products, foodstuffs |
| Imports - partners: | India 22.7%, Singapore 8.8%, UAE 7.7%, China 7%, Iran 6.1%, Malaysia 4.5% (2012) |
| Reserves of foreign exchange and gold: | $7.2 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $6.9 billion (31 December 2012 est.) |
| Debt - external: | $33.67 billion (31 December 2013 est.) |
| Debt - external: | $29.39 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Sri Lankan rupees (LKR) per US dollar - |
| Exchange rates: | 129.6 (2013 est.) |
| Exchange rates: | 127.6 (2012 est.) |
| Exchange rates: | 113.06 (2010 est.) |
| Exchange rates: | 114.95 (2009) |
| Exchange rates: | 108.33 (2008) |
