| Economy | SRI LANKA |
| Exports - partners: | US 26%, UK 9%, India 7.2%, Germany 4.3% (2015) |
| Imports: | $18.93 billion (2015 est.) |
| Imports: | $19.42 billion (2014 est.) |
| Imports - commodities: | petroleum, textiles, machinery and transportation equipment, building materials, mineral products, foodstuffs |
| Imports - partners: | India 24.6%, China 20.6%, UAE 7.2%, Singapore 5.9%, Japan 5.7% (2015) |
| Reserves of foreign exchange and gold: | $7.303 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $8.209 billion (31 December 2014 est.) |
| Debt - external: | $45.47 billion (31 December 2015 est.) |
| Debt - external: | $43.61 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Sri Lankan rupees (LKR) per US dollar - |
| Exchange rates: | 135.86 (2015 est.) |
| Exchange rates: | 130.57 (2014 est.) |
| Exchange rates: | 130.57 (2013 est.) |
| Exchange rates: | 127.6 (2012 est.) |
| Exchange rates: | 110.57 (2011 est.) |
