| Economy | Kosovo |
| Inflation rate (consumer prices): | 1.5% (2017 est.) |
| Inflation rate (consumer prices): | 0.3% (2016 est.) |
| Commercial bank prime lending rate: | 6.83% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 7.47% (31 December 2016 est.) |
| Stock of broad money: | $3.11 billion (2016 est.) |
| Stock of broad money: | $2.855 billion (2015 est.) |
| Stock of domestic credit: | $2.02 billion (2014 est.) |
| Stock of domestic credit: | $2.505 billion (2013 est.) |
| Current account balance: | -$467 million (2017 est.) |
| Current account balance: | -$533 million (2016 est.) |
| Exports: | $428 million (2017 est.) |
| Exports: | $340 million (2016 est.) |
| Exports - partners: | Albania 16%, India 14%, Macedonia, The Former Yugo Rep of 12.1%, Serbia 10.6%, Switzerland 5.6%, Germany 5.4% (2017) |
| Exports - commodities: | mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textiles and apparel |
| Imports: | $3.223 billion (2017 est.) |
| Imports: | $2.876 billion (2016 est.) |
| Imports - commodities: | foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment |
| Imports - partners: | Germany 12.4%, Serbia 12.3%, Turkey 9.6%, China 9.1%, Italy 6.4%, Macedonia, The Former Yugo Rep of 5.1%, Albania 5%, Greece 4.4% (2017) |
| Reserves of foreign exchange and gold: | $683.9 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $708.7 million (31 December 2015 est.) |
| Debt - external: | $506 million (31 December 2017 est.) |
| Debt - external: | $448 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.59 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $39.02 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $275 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $230 million (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
