| Economy | Kosovo |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2013 est.) |
| Public debt: | 9.1% of GDP (2013) |
| Public debt: | 8.4% of GDP (2012) |
| Inflation rate (consumer prices): | 1.8% (2013 est.) |
| Inflation rate (consumer prices): | 2.5% (2012 est.) |
| Commercial bank prime lending rate: | NA% (30 June 2013 est.) |
| Commercial bank prime lending rate: | 13.7% (31 December 2012 est.) |
| Stock of broad money: | $2.773 billion |
| Stock of broad money: | $2.637 billion |
| Stock of domestic credit: | $2.505 billion |
| Stock of domestic credit: | $2.445 billion |
| Current account balance: | -$919.7 million (2013 est.) |
| Current account balance: | -$1.083 billion (2012 est.) |
| Exports: | $408 million (2013 est.) |
| Exports: | $382.8 million (2012 est.) |
| Exports - commodities: | mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textile and textile articles |
| Exports - partners: | Italy 25.8%, Albania 14.6%, Macedonia 9.6%, China 5.5%, Gernamy 5.4%, Switzerland 5.4%, Turkey 4.1% (2012 est.) |
| Imports: | $3.398 billion (2013 est.) |
| Imports: | $3.477 billion (2012 est.) |
| Imports - commodities: | foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment |
| Imports - partners: | Germany 11.9%, Macedonia 11.5%, Serbia 11.1%, Italy 8.5%, Turkey 9%, China 6.4%, Albania 4.4% (2012 est.) |
| Reserves of foreign exchange and gold: | $NA |
| Debt - external: | $448.2 million (2013 est.) |
| Debt - external: | $466 million (2012 est.) |
| Stock of direct foreign investment - at home: | $21.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $25.8 million (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
