| Economy | Russia |
| Exports - partners: | China 10.9%, Netherlands 10%, Germany 7.1%, Belarus 5.1%, Turkey 4.9% (2017) |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Imports: | $238 billion (2017 est.) |
| Imports: | $191.6 billion (2016 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 21.2%, Germany 10.7%, US 5.6%, Belarus 5%, Italy 4.5%, France 4.2% (2017) |
| Reserves of foreign exchange and gold: | $432.7 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $377.7 billion (31 December 2016 est.) |
| Debt - external: | $539.6 billion (31 December 2017 est.) |
| Debt - external: | $434.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $535.2 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $461.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $470.9 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $418 billion (31 December 2016 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 58.39 (2017 est.) |
| Exchange rates: | 67.056 (2016 est.) |
| Exchange rates: | 67.056 (2015 est.) |
| Exchange rates: | 60.938 (2014 est.) |
| Exchange rates: | 38.378 (2013 est.) |
