| Economy | RUSSIA |
| Unemployment rate: | 5.5% (2013 est.) |
| Population below poverty line: | 11% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 5.7% |
| Household income or consumption by percentage share: | highest 10%: 42.4% (2011 est.) |
| Distribution of family income - Gini index: | 42 (2012) |
| Distribution of family income - Gini index: | 41.7 (2011) |
| Budget: | revenues: $416.5 billion |
| Budget: | expenditures: $408.3 billion (2014 est.) |
| Taxes and other revenues: | 20.2% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 0.4% of GDP (2014 est.) |
| Public debt: | 13.4% of GDP (2014 est.) |
| Public debt: | 8.1% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 11.4% (2014 est.) |
| Inflation rate (consumer prices): | 6.8% (2013 est.) |
| Central bank discount rate: | 17% (2014 est.) |
| Central bank discount rate: | 8% (31 December 2011) |
| Central bank discount rate: | note: this is the so-called refinancing rate, but in Russia banks do not get refinancing at this rate; this is a reference rate used primarily for fiscal purposes |
| Commercial bank prime lending rate: | 11.3% (2014 est.) |
| Commercial bank prime lending rate: | 9.47% (31 December 2013 est.) |
| Stock of narrow money: | $158.6 billion (1 December 2014 est.) |
| Stock of narrow money: | $320.9 billion (31 December 2013 est.) |
| Stock of broad money: | $926.8 billion (31 October 2014 est.) |
| Stock of broad money: | $1.087 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $882.2 billion (31 December 2014 est.) |
| Stock of domestic credit: | $984.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $874.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $796.4 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.005 trillion (31 December 2010 est.) |
| Current account balance: | $57.41 billion (2014 est.) |
| Current account balance: | $32.76 billion (2013 est.) |
| Exports: | $520.3 billion (2014 est.) |
| Exports: | $527.3 billion (2013 est.) |
| Exports - commodities: | petroleum and petroleum products, natural gas, metals, wood and wood products, chemicals, and a wide variety of civilian and military manufactures |
| Exports - partners: | Netherlands 13.7%, China 7.5%, Germany 7.5%, Italy 7.2%, Turkey 5% (2014) |
| Imports: | $323.9 billion (2014 est.) |
| Imports: | $315 billion (2013 est.) |
| Imports - commodities: | machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel |
| Imports - partners: | China 17.8%, Germany 11.5%, US 6.6%, Italy 4.5%, Belarus 4.1% (2014) |
| Reserves of foreign exchange and gold: | $385.5 billion (31 December, 2014 est.) |
| Reserves of foreign exchange and gold: | $509.6 billion (31 December 2013 est.) |
| Debt - external: | $683.6 billion (31 December 2014 est.) |
| Debt - external: | $728.9 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $606 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $566.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $533.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $479.5 billion (31 December 2013 est.) |
| Exchange rates: | Russian rubles (RUB) per US dollar - |
| Exchange rates: | 67.7 (19 December 2014 est.) |
| Exchange rates: | 32.73 (2013 est.) |
| Exchange rates: | 30.84 (2012 est.) |
| Exchange rates: | 29.382 (2011 est.) |
| Exchange rates: | 30.368 (2010 est.) |
