| Economy | THAILAND |
| Industries: | tourism, textiles and garments, agricultural processing, beverages, tobacco, cement, light manufacturing such as jewelry and electric appliances, computers and parts, integrated circuits, furniture, plastics, automobiles and automotive parts, agricultural machinery, air conditioning and refrigeration, ceramics, aluminum, chemical, environmental management, glass, granite and marble, leather, machinery and metal work, petrochemical, petroleum refining, pharmaceuticals, printing, pulp and paper, rubber, sugar, rice, fishing, cassava, world's second-largest tungsten producer and third-largest tin producer |
| Industrial production growth rate: | 2.1% (2016 est.) |
| Labor force: | 38.3 million (2016 est.) |
| Labor force - by occupation: | agriculture: 31.8% |
| Labor force - by occupation: | industry: 16.7% |
| Labor force - by occupation: | services: 51.5% (2015 est.) |
| Unemployment rate: | 0.8% (2016 est.) |
| Unemployment rate: | 0.9% (2015 est.) |
| Population below poverty line: | 7.2% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2009 est.) |
| Distribution of family income - Gini index: | 44.5 (2015) |
| Distribution of family income - Gini index: | 48.4 (2011) |
| Budget: | revenues: $73.67 billion |
| Budget: | expenditures: $84.59 billion (2016 est.) |
| Taxes and other revenues: | 18.1% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2016 est.) |
| Public debt: | 41.2% of GDP (2016 est.) |
| Public debt: | 43.9% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 0.2% (2016 est.) |
| Inflation rate (consumer prices): | -0.9% (2015 est.) |
| Central bank discount rate: | 1.5% (31 December 2016) |
| Central bank discount rate: | 1.5% (31 December 2015) |
| Commercial bank prime lending rate: | 6.31% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.56% (31 December 2015 est.) |
| Stock of narrow money: | $52.03 billion (31 December 2016 est.) |
| Stock of narrow money: | $49.27 billion (31 December 2015 est.) |
| Stock of broad money: | $510.4 billion (31 December 2016 est.) |
| Stock of broad money: | $486.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $507.5 billion (31 December 2016 est.) |
| Stock of domestic credit: | $486.6 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $348.8 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $430.4 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $354.4 billion (31 December 2013 est.) |
| Current account balance: | $46.83 billion (2016 est.) |
| Current account balance: | $32.11 billion (2015 est.) |
| Exports: | $214.3 billion (2016 est.) |
| Exports: | $214 billion (2015 est.) |
| Exports - commodities: | automobiles and parts, computer and parts, jewelry and precious stones, polymers of ethylene in primary forms, refine fuels, electronic integrated circuits, chemical products, rice, fish products, rubber products, sugar, cassava, poultry, machinery and parts, iron and steel and their products |
| Exports - partners: | US 11.4%, China 11.1%, Japan 9.6%, Hong Kong 5.3%, Australia 4.8%, Malaysia 4.5%, Vietnam 4.4% (2016) |
| Imports: | $177.7 billion (2016 est.) |
| Imports: | $187.2 billion (2015 est.) |
| Imports - commodities: | machinery and parts, crude oil, electrical machinery and parts, chemicals, iron & steel and product, electronic integrated circuit, automobile’s parts, jewelry including silver bars and gold, computers and parts, electrical household appliances, soybean, soybean meal, wheat, cotton, dairy products |
| Imports - partners: | China 21.6%, Japan 15.8%, US 6.2%, Malaysia 5.6% (2016) |
| Reserves of foreign exchange and gold: | $171.9 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $156.5 billion (31 December 2015 est.) |
| Debt - external: | $130.6 billion (31 December 2016 est.) |
| Debt - external: | $129.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $193.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $188.9 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $96.27 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $75.95 billion (31 December 2015 est.) |
| Exchange rates: | baht per US dollar - |
| Exchange rates: | 35.296 (2016 est.) |
| Exchange rates: | 35.296 (2015 est.) |
| Exchange rates: | 34.248 (2014 est.) |
| Exchange rates: | 32.48 (2013 est.) |
| Exchange rates: | 31.08 (2012 est.) |
