| Economy | Singapore |
| Public debt: | note: for Singapore, public debt consists largely of Singapore Government Securities (SGS) issued to assist the Central Provident Fund (CPF), which administers Singapore's defined contribution pension fund; special issues of SGS are held by the CPF, and are non-tradable; the government has not borrowed to finance deficit expenditures since the 1980s |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 4.6% (2012 est.) |
| Inflation rate (consumer prices): | 5.2% (2011 est.) |
| Commercial bank prime lending rate: | 5.38% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.38% (31 December 2011 est.) |
| Stock of narrow money: | $115 billion (31 December 2012 est.) |
| Stock of narrow money: | $100.4 billion (31 December 2011 est.) |
| Stock of broad money: | $400.8 billion (31 December 2012 est.) |
| Stock of broad money: | $340.9 billion (31 December 2011 est.) |
| Stock of domestic credit: | $281.1 billion (31 December 2012 est.) |
| Stock of domestic credit: | $235.2 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $709.4 billion (31 December 2012) |
| Market value of publicly traded shares: | $569.4 billion (31 December 2011) |
| Market value of publicly traded shares: | $620.5 billion (31 December 2010) |
| Current account balance: | $51.44 billion (2012 est.) |
| Current account balance: | $65.31 billion (2011 est.) |
| Exports: | $435.8 billion (2012 est.) |
| Exports: | $434.1 billion (2011 est.) |
| Exports - commodities: | machinery and equipment (including electronics and telecommunications), pharmaceuticals and other chemicals, refined petroleum products |
| Exports - partners: | Malaysia 12.3%, Hong Kong 10.9%, China 10.8%, Indonesia 10.6%, US 5.5%, Japan 4.6%, Australia 4.2%, South Korea 4% (2012) |
| Imports: | $374.9 billion (2012 est.) |
| Imports: | $361.5 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, mineral fuels, chemicals, foodstuffs, consumer goods |
| Imports - partners: | Malaysia 10.6%, China 10.3%, US 10.2%, South Korea 6.8%, Japan 6.2%, Indonesia 5.3%, Saudi Arabia 4.5%, UAE 4.1% (2012) |
| Reserves of foreign exchange and gold: | $259.1 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $237.9 billion (31 December 2011 est.) |
| Debt - external: | $1.174 trillion (31 December 2012 est.) |
| Debt - external: | $1.088 trillion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $741 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $644.1 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $416.9 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $363.5 billion (31 December 2011 est.) |
| Exchange rates: | Singapore dollars (SGD) per US dollar - |
| Exchange rates: | 1.25 (2012 est.) |
| Exchange rates: | 1.26 (2011 est.) |
| Exchange rates: | 1.36 (2010 est.) |
| Exchange rates: | 1.45 (2009) |
| Exchange rates: | 1.42 (2008) |
