| Economy | Singapore |
| Distribution of family income - Gini index: | 45.8 (2016) |
| Budget: | revenues: 50.85 billion (2017 est.) |
| Budget: | expenditures: 51.87 billion (2017 est.) |
| Budget: | note: expenditures include both operational and development expenditures |
| Taxes and other revenues: | 15.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.3% (of GDP) (2017 est.) |
| Public debt: | 111.1% of GDP (2017 est.) |
| Public debt: | 106.8% of GDP (2016 est.) |
| Public debt: | note: Singapore's public debt consists largely of Singapore Government Securities (SGS) issued to assist the Central Provident Fund (CPF), which administers Singapore's defined contribution pension fund; special issues of SGS are held by the CPF, and are non-tradable; the government has not borrowed to finance deficit expenditures since the 1980s; Singapore has no external public debt |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 0.6% (2017 est.) |
| Inflation rate (consumer prices): | -0.5% (2016 est.) |
| Central bank discount rate: | 2.15% (2017 est.) |
| Central bank discount rate: | 1.17% (2016 est.) |
| Commercial bank prime lending rate: | 5.28% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.35% (31 December 2016 est.) |
| Stock of narrow money: | $137.4 billion (31 December 2017 est.) |
| Stock of narrow money: | $119.4 billion (31 December 2016 est.) |
| Stock of broad money: | $137.4 billion (31 December 2017 est.) |
| Stock of broad money: | $119.4 billion (31 December 2016 est.) |
| Stock of domestic credit: | $471.2 billion (31 December 2017 est.) |
| Stock of domestic credit: | $383.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $809.4 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $712.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $696 billion (31 December 2015 est.) |
| Current account balance: | $60.99 billion (2017 est.) |
| Current account balance: | $58.85 billion (2016 est.) |
| Exports: | $396.8 billion (2017 est.) |
| Exports: | $338 billion (2016 est.) |
| Exports - partners: | China 14.7%, Hong Kong 12.6%, Malaysia 10.8%, US 6.6%, Indonesia 5.8%, Japan 4.7%, South Korea 4.6%, Thailand 4% (2017) |
| Exports - commodities: | machinery and equipment (including electronics and telecommunications), pharmaceuticals and other chemicals, refined petroleum products, foodstuffs and beverages |
| Imports: | $312.1 billion (2017 est.) |
| Imports: | $277.6 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, mineral fuels, chemicals, foodstuffs, consumer goods |
| Imports - partners: | China 13.9%, Malaysia 12%, US 10.7%, Japan 6.3%, South Korea 5% (2017) |
| Reserves of foreign exchange and gold: | $279.9 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $271.8 billion (31 December 2016 est.) |
| Debt - external: | $566.1 billion (31 December 2017 est.) |
| Debt - external: | $464.1 billion (30 September 2017 est.) |
| Stock of direct foreign investment - at home: | $1.285 trillion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $1.22 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $841.4 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $759.2 billion (31 December 2016 est.) |
| Exchange rates: | Singapore dollars (SGD) per US dollar - |
| Exchange rates: | 1.3 (2017 est.) |
| Exchange rates: | 1.35 (2016 est.) |
| Exchange rates: | 1.3815 (2015 est.) |
| Exchange rates: | 1.3748 (2014 est.) |
| Exchange rates: | 1.2671 (2013 est.) |
