| Economy | BOTSWANA |
| GDP - composition, by end use: | investment in inventories: 7.2% |
| GDP - composition, by end use: | exports of goods and services: 52.3% |
| GDP - composition, by end use: | imports of goods and services: -53.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.9% |
| GDP - composition, by sector of origin: | industry: 30.2% |
| GDP - composition, by sector of origin: | services: 67.9% (2015 est.) |
| Agriculture - products: | livestock, sorghum, maize, millet, beans, sunflowers, groundnuts |
| Industries: | diamonds, copper, nickel, salt, soda ash, potash, coal, iron ore, silver; livestock processing; textiles |
| Industrial production growth rate: | -10.6% (2015 est.) |
| Labor force: | 1.155 million (2015 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 20% (2013 est.) |
| Unemployment rate: | 17.8% (2009 est.) |
| Population below poverty line: | 30.3% (2003 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 60.5 (2009) |
| Budget: | revenues: $5.112 billion |
| Budget: | expenditures: $5.526 billion (2015 est.) |
| Taxes and other revenues: | 39.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -3.2% of GDP (2015 est.) |
| Public debt: | 19.6% of GDP (2015 est.) |
| Public debt: | 16.6% of GDP (2014 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 3.1% (2015 est.) |
| Inflation rate (consumer prices): | 4.4% (2014 est.) |
| Central bank discount rate: | 6% (31 December 2015) |
| Central bank discount rate: | 7.5% (31 December 2014) |
| Commercial bank prime lending rate: | 7.95% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 9% (31 December 2014 est.) |
| Stock of narrow money: | $1.223 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.388 billion (31 December 2014 est.) |
| Stock of broad money: | $8.293 billion (31 December 2013 est.) |
| Stock of broad money: | $7.635 billion (31 December 2012 est.) |
| Stock of domestic credit: | $1.614 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.272 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $4.588 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.107 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.076 billion (31 December 2010 est.) |
| Current account balance: | $1.202 billion (2015 est.) |
| Current account balance: | $2.496 billion (2014 est.) |
| Exports: | $6.274 billion (2015 est.) |
| Exports: | $8.514 billion (2014 est.) |
| Exports - commodities: | diamonds, copper, nickel, soda ash, meat, textiles |
| Imports: | $7.09 billion (2015 est.) |
| Imports: | $7.991 billion (2014 est.) |
| Imports - commodities: | foodstuffs, machinery, electrical goods, transport equipment, textiles, fuel and petroleum products, wood and paper products, metal and metal products |
| Reserves of foreign exchange and gold: | $7.546 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $8.323 billion (31 December 2014 est.) |
| Debt - external: | $2.221 billion (31 December 2015 est.) |
| Debt - external: | $2.384 billion (31 December 2014 est.) |
| Exchange rates: | pulas (BWP) per US dollar - |
| Exchange rates: | 10.1263 (2015 est.) |
| Exchange rates: | 8.9761 (2014 est.) |
| Exchange rates: | 8.9761 (2013 est.) |
| Exchange rates: | 7.62 (2012 est.) |
| Exchange rates: | 6.8382 (2011 est.) |
