| Economy | Argentina |
| Household income or consumption by percentage share: | highest 10%: 32.3% (2010 est.) |
| Distribution of family income - Gini index: | 45.8 (2009) |
| Budget: | revenues: $121.3 billion |
| Budget: | expenditures: $133.6 billion (2012 est.) |
| Taxes and other revenues: | 25.9% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2012 est.) |
| Public debt: | 44.8% of GDP (2012 est.) |
| Public debt: | 41.7% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 25.3% (2012 est.) |
| Inflation rate (consumer prices): | 24.4% (2011 est.) |
| Inflation rate (consumer prices): | note: data are derived from private estimates |
| Central bank discount rate: | NA% |
| Commercial bank prime lending rate: | 14.06% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 14.09% (31 December 2011 est.) |
| Stock of narrow money: | $65.63 billion (31 December 2012 est.) |
| Stock of narrow money: | $50.25 billion (31 December 2011 est.) |
| Stock of broad money: | $148.6 billion (31 December 2012 est.) |
| Stock of broad money: | $123.7 billion (31 December 2011 est.) |
| Stock of domestic credit: | $161.9 billion (31 December 2012 est.) |
| Stock of domestic credit: | $132.2 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $43.58 billion (31 December 2011) |
| Market value of publicly traded shares: | $63.91 billion (31 December 2010) |
| Market value of publicly traded shares: | $48.93 billion (31 December 2009) |
| Current account balance: | $106.9 million (2012 est.) |
| Current account balance: | $-2.397 billion (2011 est.) |
| Exports: | $80.91 billion (2012 est.) |
| Exports: | $83.98 billion (2011 est.) |
| Exports - commodities: | soybeans and derivatives, petroleum and gas, vehicles, corn, wheat |
| Exports - partners: | Brazil 20.4%, China 7.4%, Chile 6%, US 5.2% (2012) |
| Imports: | $65.55 billion (2012 est.) |
| Imports: | $71.13 billion (2011 est.) |
| Imports - commodities: | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| Imports - partners: | Brazil 27.2%, US 15.6%, China 11.9%, Germany 4.5% (2012) |
| Reserves of foreign exchange and gold: | $43.25 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $46.35 billion (31 December 2011 est.) |
| Debt - external: | $113.7 billion (31 December 2012 est.) |
| Debt - external: | $114.7 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $107.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $94.86 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $32.91 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $31.86 billion (31 December 2011 est.) |
| Exchange rates: | Argentine pesos (ARS) per US dollar - |
| Exchange rates: | 4.54 (2012 est.) |
| Exchange rates: | 4.11 (2011 est.) |
| Exchange rates: | 3.9 (2010 est.) |
| Exchange rates: | 3.71 (2009) |
| Exchange rates: | 3.16 (2008) |
