| Economy | LUXEMBOURG |
| Market value of publicly traded shares: | $101.1 billion (31 December 2013 est.) |
| Current account balance: | $3 billion (2015 est.) |
| Current account balance: | $3.581 billion (2014 est.) |
| Exports: | $17.81 billion (2015 est.) |
| Exports: | $24.57 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, steel products, chemicals, rubber products, glass |
| Exports - partners: | Germany 22.1%, Belgium 16.7%, France 16.6%, UK 4.7%, Italy 4.6%, Netherlands 4% (2015) |
| Imports: | $20.22 billion (2015 est.) |
| Imports: | $24.81 billion (2014 est.) |
| Imports - commodities: | commercial aircraft, minerals, chemicals, metals, foodstuffs, luxury consumer goods |
| Imports - partners: | Belgium 27.6%, Germany 22.9%, China 11.7%, France 9.5%, US 8.4%, Netherlands 4.2%, Mexico 4.1% (2015) |
| Reserves of foreign exchange and gold: | $771 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $863 million (31 December 2014 est.) |
| Debt - external: | $3.331 trillion (31 December 2014 est.) |
| Debt - external: | $3.525 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - at home: | $11.21 billion (31 December 2008 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
