| Economy | Luxembourg |
| Budget surplus (+) or deficit (-): | -1.7% of GDP (2013 est.) |
| Public debt: | 22.9% of GDP (2013 est.) |
| Public debt: | 20.8% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.8% (2013 est.) |
| Inflation rate (consumer prices): | 2.9% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Stock of narrow money: | $84.91 billion (31 December 2013 est.) |
| Stock of narrow money: | $89.87 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $235.8 billion (31 December 2013 est.) |
| Stock of broad money: | $238.2 billion |
| Stock of domestic credit: | $97.73 billion (31 December 2013 est.) |
| Stock of domestic credit: | $97.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $70.34 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $67.63 billion (31 December 2011) |
| Market value of publicly traded shares: | $101.1 billion (31 December 2010 est.) |
| Current account balance: | $2.7 billion (2013 est.) |
| Current account balance: | $3.428 billion (2012 est.) |
| Exports: | $15.8 billion (2013 est.) |
| Exports: | $15.93 billion (2012 est.) |
| Exports - commodities: | machinery and equipment, steel products, chemicals, rubber products, glass |
| Exports - partners: | Germany 21.5%, France 15.5%, Belgium 14.5%, UK 5.8%, Italy 5.6%, Switzerland 4.7% (2012) |
| Imports: | $23.12 billion (2013 est.) |
| Imports: | $23.78 billion (2012 est.) |
| Imports - commodities: | minerals, metals, foodstuffs, quality consumer goods |
| Imports - partners: | Belgium 30.6%, Germany 23.6%, France 10.4%, US 8.3%, China 7.2%, Netherlands 5.1% (2012) |
| Reserves of foreign exchange and gold: | $991 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.014 billion (31 December 2011 est.) |
| Debt - external: | $2.935 trillion (31 December 2012 est.) |
| Debt - external: | $2.084 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - at home: | $11.21 billion (31 December 2008 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
