| Economy | Luxembourg |
| GDP - per capita (PPP): | $105,100 (2017 est.) |
| GDP - per capita (PPP): | $105,400 (2016 est.) |
| GDP - per capita (PPP): | $104,600 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 22.3% of GDP (2017 est.) |
| Gross national saving: | 23% of GDP (2016 est.) |
| Gross national saving: | 23.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 30.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.5% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 16.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 230% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -194% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 12.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 86.9% (2017 est.) |
| Agriculture - products: | grapes, barley, oats, potatoes, wheat, fruits; dairy and livestock products |
| Industries: | banking and financial services, construction, real estate services, iron, metals, and steel, information technology, telecommunications, cargo transportation and logistics, chemicals, engineering, tires, glass, aluminum, tourism, biotechnology |
| Industrial production growth rate: | 1.9% (2017 est.) |
| Labor force: | 282,800 (2017 est.) |
| Labor force: | note: data exclude foreign workers; in addition to the figure for domestic labor force, about 150,000 workers commute daily from France, Belgium, and Germany |
| Labor force - by occupation: | agriculture: 1.1% |
| Labor force - by occupation: | industry: 20% |
| Labor force - by occupation: | services: 78.9% (2013 est.) |
| Unemployment rate: | 5.8% (2017 est.) |
| Unemployment rate: | 6.3% (2016 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2000) |
| Distribution of family income - Gini index: | 30.4 (2013 est.) |
| Distribution of family income - Gini index: | 26 (2005 est.) |
| Budget: | revenues: 27.75 billion (2017 est.) |
| Budget: | expenditures: 26.8 billion (2017 est.) |
| Taxes and other revenues: | 44.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.5% (of GDP) (2017 est.) |
| Public debt: | 23% of GDP (2017 est.) |
| Public debt: | 20.8% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.1% (2017 est.) |
| Inflation rate (consumer prices): | 0% (2016 est.) |
| Central bank discount rate: | 0% (31 December 2017) |
| Central bank discount rate: | 0% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.9% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 1.98% (31 December 2016 est.) |
| Stock of narrow money: | $275.6 billion (31 December 2017 est.) |
| Stock of narrow money: | $229.2 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the EU for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $275.6 billion (31 December 2017 est.) |
| Stock of broad money: | $229.2 billion (31 December 2016 est.) |
| Stock of domestic credit: | $128.5 billion (31 December 2017 est.) |
| Stock of domestic credit: | $109.9 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $47.13 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $63.17 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $78.64 billion (31 December 2013 est.) |
| Current account balance: | $3.112 billion (2017 est.) |
| Current account balance: | $2.988 billion (2016 est.) |
| Exports: | $15.99 billion (2017 est.) |
| Exports: | $16.37 billion (2016 est.) |
| Exports - partners: | Germany 25.6%, Belgium 17.6%, France 14%, Netherlands 5.1%, Italy 4.1%, UK 4.1% (2017) |
| Exports - commodities: | machinery and equipment, steel products, chemicals, rubber products, glass |
| Imports: | $20.66 billion (2017 est.) |
| Imports: | $20.41 billion (2016 est.) |
| Imports - commodities: | commercial aircraft, minerals, chemicals, metals, foodstuffs, luxury consumer goods |
| Imports - partners: | Belgium 32%, Germany 24.9%, France 11.1%, US 5.7%, Netherlands 4.9% (2017) |
| Reserves of foreign exchange and gold: | $878 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $974 million (31 December 2016 est.) |
| Debt - external: | $3.781 trillion (31 March 2016 est.) |
| Debt - external: | $3.806 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $11.21 billion (31 December 2008 est.) |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
