| Economy | Luxembourg |
| Imports: | $26.27 billion (2011 est.) |
| Imports - commodities: | minerals, metals, foodstuffs, quality consumer goods |
| Imports - partners: | Belgium 30.6%, Germany 23.6%, France 10.4%, US 8.3%, China 7.2%, Netherlands 5.1% (2012) |
| Reserves of foreign exchange and gold: | $991 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.014 billion (31 December 2011 est.) |
| Debt - external: | $2.643 trillion (31 December 2012) |
| Debt - external: | $2.084 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $11.21 billion (31 December 2008 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
