| Economy | KYRGYZSTAN |
| Labor force: | 2.787 million (2016 est.) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 12.5% |
| Labor force - by occupation: | services: 39.5% (2005 est.) |
| Unemployment rate: | 7.5% (2016 est.) |
| Unemployment rate: | 7.6% (2015 est.) |
| Population below poverty line: | 32.1% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 22.9% (2014 est.) |
| Distribution of family income - Gini index: | 33.4 (2007) |
| Distribution of family income - Gini index: | 29 (2001) |
| Budget: | revenues: $1.868 billion |
| Budget: | expenditures: $2.166 billion (2016 est.) |
| Taxes and other revenues: | 28.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.6% of GDP (2016 est.) |
| Public debt: | 58.5% of GDP (2016 est.) |
| Public debt: | 64.9% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.4% (2016 est.) |
| Inflation rate (consumer prices): | 6.5% (2015 est.) |
| Central bank discount rate: | 5% (31 December 2016) |
| Central bank discount rate: | 8% (31 December 2015) |
| Commercial bank prime lending rate: | 22.23% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 24.25% (31 December 2015 est.) |
| Stock of narrow money: | $1.411 billion (31 December 2016 est.) |
| Stock of narrow money: | $928.2 million (31 December 2015 est.) |
| Stock of broad money: | $1.667 billion (31 December 2016 est.) |
| Stock of broad money: | $1.084 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.444 billion (31 December 2016 est.) |
| Stock of domestic credit: | $993.4 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $79 million (31 December 2010 est.) |
| Current account balance: | $-633 million (2016 est.) |
| Current account balance: | $-1.052 billion (2015 est.) |
| Exports: | $1.544 billion (2016 est.) |
| Exports: | $1.571 billion (2015 est.) |
| Exports - commodities: | gold, cotton, wool, garments, meat; mercury, uranium, electricity; machinery; shoes |
| Exports - partners: | Switzerland 44.9%, Kazakhstan 10.5%, Russia 10.1%, Uzbekistan 8.7%, Turkey 6.2%, China 5.5% (2016) |
| Imports: | $3.644 billion (2016 est.) |
| Imports: | $3.791 billion (2015 est.) |
| Imports - commodities: | oil and gas, machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | China 37.8%, Russia 20.7%, Kazakhstan 16.4%, Turkey 4.9% (2016) |
| Reserves of foreign exchange and gold: | $1.97 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.778 billion (31 December 2015 est.) |
| Debt - external: | $8.182 billion (31 December 2016 est.) |
| Debt - external: | $7.504 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $5.21 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $4.748 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $655.5 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $629.3 million (31 December 2015 est.) |
| Exchange rates: | soms (KGS) per US dollar - |
| Exchange rates: | 69.914 (2016 est.) |
| Exchange rates: | 69.914 (2015 est.) |
| Exchange rates: | 64.462 (2014 est.) |
| Exchange rates: | 53.654 (2013 est.) |
| Exchange rates: | 47.01 (2012 est.) |
