| Economy | Kyrgyzstan |
| Commercial bank prime lending rate: | 25% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 28.43% (31 December 2012 est.) |
| Stock of narrow money: | $1.479 billion (31 December 2013 est.) |
| Stock of narrow money: | $1.372 billion (31 December 2012 est.) |
| Stock of broad money: | $1.776 billion (31 December 2013 est.) |
| Stock of broad money: | $1.634 billion (31 December 2012 est.) |
| Stock of domestic credit: | $1.011 billion (31 December 2013 est.) |
| Stock of domestic credit: | $932.5 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2011) |
| Market value of publicly traded shares: | $79 million (31 December 2010 est.) |
| Current account balance: | -$1.125 billion (2013 est.) |
| Current account balance: | -$1.497 billion (2012 est.) |
| Exports: | $1.881 billion (2013 est.) |
| Exports: | $1.921 billion (2012 est.) |
| Exports - commodities: | gold, cotton, wool, garments, meat, tobacco; mercury, uranium, electricity; machinery; shoes |
| Exports - partners: | Kazakhstan 26.2%, Uzbekistan 26.1%, Russia 14.6%, China 7%, UAE 6.1%, Afghanistan 5.2% (2012) |
| Imports: | $5.082 billion (2013 est.) |
| Imports: | $4.967 billion (2012 est.) |
| Imports - commodities: | oil and gas, machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | China 55.2%, Russia 17.4%, Kazakhstan 7.9% (2012) |
| Reserves of foreign exchange and gold: | $2.199 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $2.066 billion (31 December 2012 est.) |
| Debt - external: | $3.859 billion (31 December 2013 est.) |
| Debt - external: | $3.746 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $2.005 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $1.685 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $39.6 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $39.6 million (31 December 2012 est.) |
| Exchange rates: | soms (KGS) per US dollar - |
| Exchange rates: | 48.87 (2013 est.) |
| Exchange rates: | 47.005 (2012 est.) |
| Exchange rates: | 45.964 (2010 est.) |
| Exchange rates: | 42.905 (2009) |
| Exchange rates: | 36.108 (2008) |
