| Economy | Kyrgyzstan |
| Market value of publicly traded shares: | $165 million (31 December 2011) |
| Market value of publicly traded shares: | $79 million (31 December 2010) |
| Market value of publicly traded shares: | $71.84 million (31 December 2009) |
| Current account balance: | $-1.497 billion (2012 est.) |
| Current account balance: | $-571.2 million (2011 est.) |
| Exports: | $1.921 billion (2012 est.) |
| Exports: | $2.267 billion (2011 est.) |
| Exports - commodities: | gold, cotton, wool, garments, meat, tobacco; mercury, uranium, electricity; machinery; shoes |
| Exports - partners: | Kazakhstan 26.2%, Uzbekistan 26.1%, Russia 14.6%, China 7%, UAE 6.1%, Afghanistan 5.2% (2012) |
| Imports: | $4.967 billion (2012 est.) |
| Imports: | $3.936 billion (2011 est.) |
| Imports - commodities: | oil and gas, machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | China 55.2%, Russia 17.4%, Kazakhstan 7.9% (2012) |
| Reserves of foreign exchange and gold: | $2.066 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $1.835 billion (31 December 2011 est.) |
| Debt - external: | $3.746 billion (31 December 2012 est.) |
| Debt - external: | $5.486 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $1.685 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $1.312 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $39.6 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $39.6 million (31 December 2011 est.) |
| Exchange rates: | soms (KGS) per US dollar - |
| Exchange rates: | 47.01 (2012 est.) |
| Exchange rates: | 46.14 (2011 est.) |
| Exchange rates: | 45.96 (2010 est.) |
| Exchange rates: | 42.91 (2009) |
| Exchange rates: | 36.11 (2008) |
