| Economy | KYRGYZSTAN |
| Reserves of foreign exchange and gold: | $1.778 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.957 billion (31 December 2014 est.) |
| Debt - external: | $7.37 billion (31 December 2015 est.) |
| Debt - external: | $7.257 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $4.347 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $3.667 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $331.4 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $418.3 million (31 December 2014 est.) |
| Exchange rates: | soms (KGS) per US dollar - |
| Exchange rates: | 64.462 (2015 est.) |
| Exchange rates: | 53.654 (2014 est.) |
| Exchange rates: | 53.654 (2013 est.) |
| Exchange rates: | 47.01 (2012 est.) |
| Exchange rates: | 46.144 (2011 est.) |
