| Economy | Sri Lanka |
| GDP - composition, by end use: | investment in fixed capital: 26.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 10.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.9% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -29.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 30.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 61.7% (2017 est.) |
| Agriculture - products: | rice, sugarcane, grains, pulses, oilseed, spices, vegetables, fruit, tea, rubber, coconuts; milk, eggs, hides, beef; fish |
| Industries: | processing of rubber, tea, coconuts, tobacco and other agricultural commodities; telecommunications, insurance, banking; tourism, shipping; clothing, textiles; cement, petroleum refining, information technology services, construction |
| Industrial production growth rate: | 4.6% (2017 est.) |
| Labor force: | 8.937 million (2017 est.) |
| Labor force - by occupation: | agriculture: 27% |
| Labor force - by occupation: | industry: 26% |
| Labor force - by occupation: | services: 47% (31 December 2016) |
| Unemployment rate: | 4.4% (2017 est.) |
| Unemployment rate: | 4.4% (2016 est.) |
| Population below poverty line: | 6.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 32.2% (2012 est.) |
| Household income or consumption by percentage share: | highest 10%: 32.2% (2012 est.) |
| Distribution of family income - Gini index: | 39.2 (2012 est.) |
| Distribution of family income - Gini index: | 46 (1995) |
| Budget: | revenues: 12.07 billion (2017 est.) |
| Budget: | expenditures: 16.88 billion (2017 est.) |
| Taxes and other revenues: | 13.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.5% (of GDP) (2017 est.) |
| Public debt: | 79.1% of GDP (2017 est.) |
| Public debt: | 79.6% of GDP (2016 est.) |
| Public debt: | note: covers central government debt and excludes debt instruments directly owned by government entities other than the treasury (e.g. commercial bank borrowings of a government corporation); the data includes treasury debt held by foreign entities as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement; sub-national entities are usually not permitted to sell debt instruments |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.5% (2017 est.) |
| Inflation rate (consumer prices): | 4% (2016 est.) |
| Central bank discount rate: | 7.25% (30 November 2017) |
| Central bank discount rate: | 6% (31 December 2015) |
| Commercial bank prime lending rate: | 11.6% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 10.49% (31 December 2016 est.) |
| Stock of narrow money: | $5.19 billion (31 December 2017 est.) |
| Stock of narrow money: | $5.184 billion (31 December 2016 est.) |
| Stock of broad money: | $5.19 billion (31 December 2017 est.) |
| Stock of broad money: | $5.184 billion (31 December 2016 est.) |
| Stock of domestic credit: | $53.53 billion (31 December 2017 est.) |
| Stock of domestic credit: | $46.21 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $18.9 billion (30 September 2017 est.) |
| Market value of publicly traded shares: | $23.67 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $18.81 billion (31 December 2013 est.) |
| Current account balance: | -$2.31 billion (2017 est.) |
| Current account balance: | -$1.743 billion (2016 est.) |
| Exports: | $11.36 billion (2017 est.) |
| Exports: | $10.31 billion (2016 est.) |
| Exports - partners: | US 24.6%, UK 9%, India 5.8%, Singapore 4.5%, Germany 4.3%, Italy 4.3% (2017) |
| Exports - commodities: | textiles and apparel, tea and spices; rubber manufactures; precious stones; coconut products, fish |
| Imports: | $20.98 billion (2017 est.) |
| Imports: | $19.18 billion (2016 est.) |
| Imports - commodities: | petroleum, textiles, machinery and transportation equipment, building materials, mineral products, foodstuffs |
| Imports - partners: | India 22%, China 19.9%, Singapore 6.9%, UAE 5.7%, Japan 4.9% (2017) |
| Reserves of foreign exchange and gold: | $7.959 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $6.019 billion (31 December 2016 est.) |
| Debt - external: | $51.72 billion (31 December 2017 est.) |
| Debt - external: | $45.26 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $NA (31 December 2016) |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Sri Lankan rupees (LKR) per US dollar - |
| Exchange rates: | 154.1 (2017 est.) |
| Exchange rates: | 145.58 (2016 est.) |
| Exchange rates: | 145.58 (2015 est.) |
| Exchange rates: | 135.86 (2014 est.) |
| Exchange rates: | 130.57 (2013 est.) |
