| Economy | Moldova |
| Inflation rate (consumer prices): | 6.5% (2017 est.) |
| Credit ratings: | Moody's rating: B3 (2010) |
| GDP (purchasing power parity) - real: | $25.912 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $25.047 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $24.014 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $11.982 billion (2019 est.) |
| GDP - per capita (PPP): | $2,441 (2019 est.) |
| GDP - per capita (PPP): | $2,354 (2018 est.) |
| GDP - per capita (PPP): | $2,253 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 13.5% of GDP (2017 est.) |
| Gross national saving: | 15.9% of GDP (2016 est.) |
| Gross national saving: | 14.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62% (2017 est.) |
| GDP - composition, by end use: | household consumption: 85.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.9% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 42.5% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -70.7% (2017 est.) |
| Ease of Doing Business Index scores: | 95.7 (2020) |
| Agriculture - products: | vegetables, fruits, grapes, grain, sugar beets, sunflower seeds, tobacco; beef, milk; wine |
| Industries: | sugar processing, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| Industrial production growth rate: | 3% (2017 est.) |
| Labor force: | 1.295 million (2017 est.) |
| Labor force - by occupation: | agriculture: 32.3% |
| Labor force - by occupation: | industry: 12% |
| Labor force - by occupation: | services: 55.7% (2017 est.) |
| Unemployment rate: | 4.99% (2019 est.) |
| Unemployment rate: | 3.16% (2018 est.) |
| Population below poverty line: | 9.6% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.2% |
| Household income or consumption by percentage share: | highest 10%: 22.1% (2014 est.) |
| Budget: | revenues: 2.886 billion (2017 est.) |
| Budget: | expenditures: 2.947 billion (2017 est.) |
| Budget: | note: National Public Budget |
| Taxes and other revenues: | 30.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.6% (of GDP) (2017 est.) |
| Public debt: | 31.5% of GDP (2017 est.) |
| Public debt: | 35.8% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$602 million (2017 est.) |
| Current account balance: | -$268 million (2016 est.) |
| Exports: | $3.985 billion (2019 est.) |
| Exports: | $3.826 billion (2018 est.) |
| Exports: | $3.57 billion (2017 est.) |
| Exports - partners: | Romania 24.6%, Russia 13.7%, Italy 9.1%, Germany 6.2%, Ukraine 5.3%, UK 4.6%, Poland 4.6% (2017) |
| Exports - commodities: | foodstuffs, textiles, machinery |
| Imports: | $7.113 billion (2019 est.) |
| Imports: | $6.765 billion (2018 est.) |
| Imports: | $6.165 billion (2017 est.) |
| Imports - commodities: | mineral products and fuel, machinery and equipment, chemicals, textiles |
| Imports - partners: | Romania 15.5%, Ukraine 11.4%, Russia 10.6%, China 10.4%, Germany 8.9%, Italy 6.9%, Turkey 6.1% (2017) |
| Reserves of foreign exchange and gold: | $2.803 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.206 billion (31 December 2016 est.) |
| Debt - external: | $6.549 billion (31 December 2017 est.) |
| Debt - external: | $6.138 billion (31 December 2016 est.) |
| Exchange rates: | Moldovan lei (MDL) per US dollar - |
| Exchange rates: | 18.49 (2017 est.) |
| Exchange rates: | 19.924 (2016 est.) |
| Exchange rates: | 19.924 (2015 est.) |
| Exchange rates: | 19.83 (2014 est.) |
| Exchange rates: | 14.036 (2013 est.) |
