| Economy | Moldova |
| GDP - composition, by end use: | investment in inventories: 1.7% |
| GDP - composition, by end use: | exports of goods and services: 44.1% |
| GDP - composition, by end use: | imports of goods and services: -81.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.8% |
| GDP - composition, by sector of origin: | industry: 19.9% |
| GDP - composition, by sector of origin: | services: 66.2% (2013 est.) |
| Agriculture - products: | vegetables, fruits, grapes, grain, sugar beets, sunflower seeds, tobacco; beef, milk; wine |
| Industries: | sugar, vegetable oil, food processing, agricultural machinery; foundry equipment, refrigerators and freezers, washing machines; hosiery, shoes, textiles |
| Industrial production growth rate: | 6.8% (2013 est.) |
| Labor force: | 1.206 million (2013 est.) |
| Labor force - by occupation: | agriculture: 26.4% |
| Labor force - by occupation: | industry: 13.2% |
| Labor force - by occupation: | services: 60.4% (2012 est.) |
| Unemployment rate: | 5.8% (2013 est.) |
| Unemployment rate: | 5.6% (2012 est.) |
| Population below poverty line: | 21.9% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 26% (2010 est.) |
| Distribution of family income - Gini index: | 33 (2010) |
| Distribution of family income - Gini index: | 33.2 (2003) |
| Budget: | revenues: $2.931 billion |
| Budget: | expenditures: $3.071 billion |
| Budget: | note: National Public Budget (2013 est.) |
| Taxes and other revenues: | 37% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2013 est.) |
| Public debt: | 16.6% of GDP (2013 est.) |
| Public debt: | 17.8% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.6% (2013 est.) |
| Inflation rate (consumer prices): | 4.6% (2012 est.) |
| Central bank discount rate: | 3.5% (31 December 2013) |
| Central bank discount rate: | 4.5% (31 December 2012) |
| Central bank discount rate: | note: this is the basic rate on short-term operations |
| Commercial bank prime lending rate: | 12.26% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 13.34% (31 December 2012 est.) |
| Stock of narrow money: | $2.154 billion (31 December 2013 est.) |
| Stock of narrow money: | $1.701 billion (31 December 2012 est.) |
| Stock of broad money: | $4.974 billion (31 December 2013 est.) |
| Stock of broad money: | $4.088 billion (31 December 2012 est.) |
| Stock of domestic credit: | $2.978 billion (31 December 2013 est.) |
| Stock of domestic credit: | $2.908 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $65.28 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $51.46 million (31 December 2012) |
| Market value of publicly traded shares: | $20.71 million |
| Current account balance: | -$507.7 million (2013 est.) |
| Current account balance: | -$495.3 million (2012 est.) |
| Exports: | $2.399 billion (2013 est.) |
| Exports: | $2.162 billion (2012 est.) |
| Exports - commodities: | foodstuffs, textiles, machinery |
| Exports - partners: | Russia 26.3%, Romania 17.2%, Italy 7.7%, Ukraine 5.9%, Turkey 5.3%, Germany 4.7%, GB 4.4% (2012 est.) |
| Imports: | $5.493 billion (2013 est.) |
| Imports: | $5.213 billion (2012 est.) |
| Imports - commodities: | mineral products and fuel, machinery and equipment, chemicals, textiles |
| Imports - partners: | Russia 14.3%, Romania 13.1%, Ukraine 12%, China 8.7%, Germany 7.2%, Turkey 6.9%, Italy 6.3% (2012 est.) |
| Reserves of foreign exchange and gold: | $2.814 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $2.513 billion (31 December 2012 est.) |
| Debt - external: | $6.218 billion (30 September, 2013 est.) |
| Debt - external: | $5.984 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $3.448 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $3.262 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $108.2 million (31 December 2012) |
| Stock of direct foreign investment - abroad: | $88.42 million (31 December 2011) |
| Exchange rates: | Moldovan lei (MDL) per US dollar - |
| Exchange rates: | 12.592 (2013 est.) |
| Exchange rates: | 12.112 (2012 est.) |
| Exchange rates: | 12.369 (2010 est.) |
| Exchange rates: | 11.11 (2009) |
| Exchange rates: | 10.326 (2008) |
