| Economy | Slovakia |
| Unemployment rate: | 13.2% (2011 est.) |
| Population below poverty line: | 21% (2002) |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 22.4% (2009 est.) |
| Distribution of family income - Gini index: | 26 (2005) |
| Distribution of family income - Gini index: | 26.3 (1996) |
| Investment (gross fixed): | 22.2% of GDP (2012 est.) |
| Budget: | revenues: $31.39 billion |
| Budget: | expenditures: $35.85 billion (2012 est.) |
| Taxes and other revenues: | 34.4% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.9% of GDP (2012 est.) |
| Public debt: | 48.6% of GDP (2012 est.) |
| Public debt: | 43.3% of GDP (2011 est.) |
| Public debt: | note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds. |
| Inflation rate (consumer prices): | 3.6% (2012 est.) |
| Inflation rate (consumer prices): | 3.9% (2011 est.) |
| Central bank discount rate: | 1.75% (31 December 2011 est.) |
| Central bank discount rate: | 1.75% (31 December 2010 est.) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the euro area; Slovakia became a member of the Economic and Monetary Union (EMU) on 1 January 2009 |
| Commercial bank prime lending rate: | 3.5% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.7% (31 December 2011 est.) |
| Stock of narrow money: | $35.31 billion (31 December 2012 est.) |
| Stock of narrow money: | $36.49 billion (31 December 2011 est.) |
| Stock of narrow money: | note: this figure represents the US dollar value of Slovak koruny in circulation prior to Slovakia joining the Economic and Monetary Union (EMU); see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $52.73 billion (31 December 2012 est.) |
| Stock of broad money: | $52.99 billion (31 December 2011 est.) |
| Stock of domestic credit: | $63.87 billion (31 December 2012 est.) |
| Stock of domestic credit: | $67.93 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.736 billion (31 December 2011) |
| Market value of publicly traded shares: | $4.15 billion (31 December 2010) |
| Market value of publicly traded shares: | $4.672 billion (31 December 2009) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
| Industrial production growth rate: | 6.9% (2011 est.) |
| Current account balance: | $535.2 million (2012 est.) |
| Current account balance: | $52.86 million (2011 est.) |
| Exports: | $77.82 billion (2012 est.) |
| Exports: | $78.5 billion (2011 est.) |
| Exports - commodities: | machinery and electrical equipment 35.9%, vehicles 21%, base metals 11.3%, chemicals and minerals 8.1%, plastics 4.9% (2009 est.) |
| Exports - partners: | Germany 21.4%, Czech Republic 15.1%, Poland 7.9%, Hungary 7.8%, Austria 7.5%, France 6.7%, Italy 5.2% (2011) |
| Imports: | $74.29 billion (2012 est.) |
| Imports: | $75.1 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment 31%, mineral products 13%, vehicles 12%, base metals 9%, chemicals 8%, plastics 6% (2009 est.) |
| Imports - partners: | Germany 19.3%, Czech Republic 18.5%, Russia 11.4%, Hungary 7%, Poland 5.5%, Austria 4.6%, Italy 4.1%, China 4% (2011) |
| Reserves of foreign exchange and gold: | $2.676 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.462 billion (31 December 2011 est.) |
| Debt - external: | $72.94 billion (30 November 2011 est.) |
| Debt - external: | $59.33 billion (30 June 2010 est.) |
| Stock of direct foreign investment - at home: | $53.09 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $51.29 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $4.309 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $4.209 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
