| Economy | Slovakia |
| GDP - composition, by end use: | exports of goods and services: 95.6% |
| GDP - composition, by end use: | imports of goods and services: -90.6% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.8% |
| GDP - composition, by sector of origin: | industry: 37% |
| GDP - composition, by sector of origin: | services: 59.2% (2012 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
| Industries: | metal and metal products; food and beverages; electricity, gas, coke, oil, nuclear fuel; chemicals and manmade fibers; machinery; paper and printing; earthenware and ceramics; transport vehicles; textiles; electrical and optical apparatus; rubber products |
| Industrial production growth rate: | 10.6% (2012 est.) |
| Labor force: | 2.724 million (2012 est.) |
| Labor force - by occupation: | agriculture: 3.5% |
| Labor force - by occupation: | industry: 27% |
| Labor force - by occupation: | services: 69.4% (December 2009) |
| Unemployment rate: | 13.6% (2012 est.) |
| Unemployment rate: | 13.2% (2011 est.) |
| Population below poverty line: | 21% (2002) |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 22.4% (2009 est.) |
| Distribution of family income - Gini index: | 26 (2005) |
| Distribution of family income - Gini index: | 26.3 (1996) |
| Budget: | revenues: $30.41 billion |
| Budget: | expenditures: $34.4 billion (2012 est.) |
| Taxes and other revenues: | 33.5% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2012 est.) |
| Public debt: | 52.1% of GDP (2012 est.) |
| Public debt: | 43.3% of GDP (2011 est.) |
| Public debt: | note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.6% (2012 est.) |
| Inflation rate (consumer prices): | 3.9% (2011 est.) |
| Central bank discount rate: | 1.75% (31 December 2011 est.) |
| Central bank discount rate: | 1.75% (31 December 2010 est.) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the euro area; Slovakia became a member of the Economic and Monetary Union (EMU) on 1 January 2009 |
| Commercial bank prime lending rate: | 3.47% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 3.91% (31 December 2011 est.) |
| Stock of narrow money: | $37.14 billion (31 December 2012 est.) |
| Stock of narrow money: | $34.64 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $52.73 billion (31 December 2012 est.) |
| Stock of broad money: | $52.99 billion (31 December 2011 est.) |
| Stock of domestic credit: | $68.47 billion (31 December 2012 est.) |
| Stock of domestic credit: | $68.04 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $4.736 billion (31 December 2011) |
| Market value of publicly traded shares: | $4.15 billion (31 December 2010) |
| Market value of publicly traded shares: | $4.672 billion (31 December 2009) |
| Current account balance: | $2.096 billion (2012 est.) |
| Current account balance: | $52.86 million (2011 est.) |
| Exports: | $80.67 billion (2012 est.) |
| Exports: | $78.5 billion (2011 est.) |
| Exports - commodities: | machinery and electrical equipment 35.9%, vehicles 21%, base metals 11.3%, chemicals and minerals 8.1%, plastics 4.9% (2009 est.) |
| Exports - partners: | Germany 22.3%, Czech Republic 14.9%, Poland 8.8%, Hungary 7.8%, Austria 7%, France 5.6%, Italy 4.9%, UK 4.1% (2012) |
| Imports: | $75.99 billion (2012 est.) |
| Imports: | $75.1 billion (2011 est.) |
| Imports - commodities: | machinery and transport equipment 31%, mineral products 13%, vehicles 12%, base metals 9%, chemicals 8%, plastics 6% (2009 est.) |
| Imports - partners: | Germany 18.6%, Czech Republic 18%, Russia 9.9%, Austria 8%, Hungary 6.8%, Poland 6%, South Korea 4.1% (2012) |
| Reserves of foreign exchange and gold: | $2.519 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $2.462 billion (31 December 2011 est.) |
| Debt - external: | $68.44 billion (31 December 2012 est.) |
| Debt - external: | $68.61 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $62.49 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $58.69 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $11.09 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $11.61 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
