| Economy | MONGOLIA |
| Industries: | construction and construction materials; mining (coal, copper, molybdenum, fluorspar, tin, tungsten, gold); oil; food and beverages; processing of animal products, cashmere and natural fiber manufacturing |
| Industrial production growth rate: | -1.2% (2016 est.) |
| Labor force: | 1.24 million (2016 est.) |
| Labor force - by occupation: | agriculture: 31.1% |
| Labor force - by occupation: | industry: 18.5% |
| Labor force - by occupation: | services: 50.5% (2016) |
| Unemployment rate: | 7.9% (2016 est.) |
| Unemployment rate: | 8.3% (2015 est.) |
| Population below poverty line: | 21.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 13.8% |
| Household income or consumption by percentage share: | highest 10%: 8.8% (2016) |
| Distribution of family income - Gini index: | 36.5 (2008) |
| Distribution of family income - Gini index: | 32.8 (2002) |
| Budget: | revenues: $2.775 billion |
| Budget: | expenditures: $4.448 billion (2016 est.) |
| Taxes and other revenues: | 25.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -15.2% of GDP (2016 est.) |
| Public debt: | 90% of GDP (2016 est.) |
| Public debt: | 77.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2016 est.) |
| Inflation rate (consumer prices): | 5.8% (2015 est.) |
| Central bank discount rate: | 12% (14 January 2016 ) |
| Central bank discount rate: | 13% (15 January 2015) |
| Commercial bank prime lending rate: | 19.74% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 19.56% (31 December 2015 est.) |
| Stock of narrow money: | $839.6 million (31 December 2016 est.) |
| Stock of narrow money: | $844.4 million (31 December 2015 est.) |
| Stock of broad money: | $4.851 billion (31 December 2016 est.) |
| Stock of broad money: | $5.035 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.326 billion (31 December 2016 est.) |
| Stock of domestic credit: | $8.048 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $632.6 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $766.1 million (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.095 billion (31 December 2013 est.) |
| Current account balance: | $-700 million (2016 est.) |
| Current account balance: | $-948.5 million (2015 est.) |
| Exports: | $4.804 billion (2016 est.) |
| Exports: | $4.447 billion (2015 est.) |
| Exports - commodities: | copper, apparel, livestock, animal products, cashmere, wool, hides, fluorspar, other nonferrous metals, coal, crude oil |
| Exports - partners: | China 84.1%, UK 6.8% (2016) |
| Imports: | $3.466 billion (2016 est.) |
| Imports: | $3.884 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent |
| Imports - partners: | China 33.2%, Russia 25.6%, South Korea 8.6%, Japan 7% (2016) |
| Debt - external: | $19.79 billion (31 December 2016 est.) |
| Debt - external: | $21.54 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $16.28 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $20.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $455.2 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $439.5 million (31 December 2015 est.) |
| Exchange rates: | togrog/tugriks (MNT) per US dollar - |
| Exchange rates: | 2,140.3 (2016 est.) |
| Exchange rates: | 1,970.3 (2015 est.) |
| Exchange rates: | 1,970.3 (2014 est.) |
| Exchange rates: | 1,817.9 (2013 est.) |
| Exchange rates: | 1,357.6 (2012 est.) |
