| Economy | SPAIN |
| Taxes and other revenues: | 37.9% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -4.5% of GDP (2016 est.) |
| Public debt: | 99.4% of GDP (2016 est.) |
| Public debt: | 99.8% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2016 est.) |
| Inflation rate (consumer prices): | -0.6% (2015 est.) |
| Central bank discount rate: | 0.05% (10 September 2014) |
| Central bank discount rate: | 0.25% (13 November 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2.19% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 2.74% (31 December 2015 est.) |
| Stock of narrow money: | $841.6 billion (31 December 2016 est.) |
| Stock of narrow money: | $745 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.257 trillion (31 December 2015 est.) |
| Stock of broad money: | $1.369 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $2.21 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $2.279 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $787.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $992.9 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.117 trillion (31 December 2013 est.) |
| Current account balance: | $23.76 billion (2016 est.) |
| Current account balance: | $16.21 billion (2015 est.) |
| Exports: | $280.5 billion (2016 est.) |
| Exports: | $277.4 billion (2015 est.) |
| Exports - commodities: | machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods |
| Exports - partners: | France 15.2%, Germany 11.4%, Italy 7.8%, UK 7.6%, Portugal 7%, US 4.4% (2016) |
| Imports: | $300.3 billion (2016 est.) |
| Imports: | $301.5 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, fuels, chemicals, semi-finished goods, foodstuffs, consumer goods, measuring and medical control instruments |
| Imports - partners: | Germany 14.7%, France 12%, China 7.1%, Italy 6.7%, Netherlands 5.2%, UK 4.4% (2016) |
| Reserves of foreign exchange and gold: | $63.14 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $53.97 billion (31 December 2015 est.) |
| Debt - external: | $2.094 trillion (31 March 2016 est.) |
| Debt - external: | $1.963 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $739.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $710.3 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $696.9 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $644 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
