| Economy | Spain |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 8% (31 December 2013 est.) |
| Commercial bank prime lending rate: | NA% (31 December 2012 est.) |
| Stock of narrow money: | $777.3 billion (31 December 2013 est.) |
| Stock of narrow money: | $785.2 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.003 trillion (31 December 2013 est.) |
| Stock of broad money: | $2.096 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $2.936 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.045 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $995.1 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.031 trillion (31 December 2011) |
| Market value of publicly traded shares: | $1.172 trillion (31 December 2010 est.) |
| Current account balance: | $2.1 billion (2013 est.) |
| Current account balance: | -$15.14 billion (2012 est.) |
| Exports: | $458 billion (2013 est.) |
| Exports: | $432 billion (2012 est.) |
| Exports - commodities: | machinery, motor vehicles; foodstuffs, pharmaceuticals, medicines, other consumer goods |
| Exports - partners: | France 16.8%, Germany 10.8%, Italy 7.7%, Portugal 7.1%, UK 6.5% (2012) |
| Imports: | $431 billion (2013 est.) |
| Imports: | $422 billion (2012 est.) |
| Imports - commodities: | machinery and equipment, fuels, chemicals, semifinished goods, foodstuffs, consumer goods, measuring and medical control instruments |
| Imports - partners: | Germany 11.8%, France 11.5%, Italy 6.7%, China 5.6%, Netherlands 5.4%, UK 4.1% (2012) |
| Reserves of foreign exchange and gold: | $50.59 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $47.1 billion (31 December 2011 est.) |
| Debt - external: | $2.278 trillion (31 December 2012 est.) |
| Debt - external: | $2.269 trillion (31 December 2011) |
| Stock of direct foreign investment - at home: | $779.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $725.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $714.4 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $710.2 billion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
