| Economy | BULGARIA |
| Public debt: | 29.5% of GDP (2016 est.) |
| Public debt: | 26% of GDP (2015 est.) |
| Public debt: | note:: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1.3% (2016 est.) |
| Inflation rate (consumer prices): | -0.1% (2015 est.) |
| Central bank discount rate: | 0% (31 December 2016) |
| Central bank discount rate: | 0.01% (31 December 2015) |
| Central bank discount rate: | note: Bulgarian National Bank (BNB) has had no independent monetary policy since the introduction of the Currency Board regime in 1997; this is BNB's base interest rate |
| Commercial bank prime lending rate: | 6.41% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.46% (31 December 2015 est.) |
| Stock of narrow money: | $22 billion (31 December 2016 est.) |
| Stock of narrow money: | $20.09 billion (31 December 2015 est.) |
| Stock of broad money: | $42.84 billion (31 December 2016 est.) |
| Stock of broad money: | $41.28 billion (31 December 2015 est.) |
| Stock of domestic credit: | $27.56 billion (31 December 2016 est.) |
| Stock of domestic credit: | $29.83 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $5.205 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.797 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $5.45 billion (31 December 2014 est.) |
| Current account balance: | $2.201 billion (2016 est.) |
| Current account balance: | $-67.13 million (2015 est.) |
| Exports: | $24.96 billion (2016 est.) |
| Exports: | $24.32 billion (2015 est.) |
| Exports - commodities: | clothing, footwear, iron and steel, machinery and equipment, fuels, agriculture, tobacco, IT components |
| Exports - partners: | Germany 13.7%, Italy 9.3%, Romania 8.8%, Turkey 7.9%, Greece 7%, France 4.5% (2016) |
| Imports: | $27 billion (2016 est.) |
| Imports: | $27.23 billion (2015 est.) |
| Imports - commodities: | machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials |
| Imports - partners: | Germany 13.1%, Russia 8.9%, Italy 7.9%, Romania 7%, Turkey 6.2%, Greece 4.8%, Poland 4.1% (2016) |
| Reserves of foreign exchange and gold: | $25.19 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $22.16 billion (31 December 2015 est.) |
| Debt - external: | $37.99 billion (31 December 2016 est.) |
| Debt - external: | $37.49 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $45.26 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $44.29 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.988 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $4.49 billion (31 December 2015 est.) |
| Exchange rates: | leva (BGN) per US dollar - |
| Exchange rates: | 1.768 (2016 est.) |
| Exchange rates: | 1.768 (2015 est.) |
| Exchange rates: | 1.7644 (2014 est.) |
| Exchange rates: | 1.4742 (2013 est.) |
| Exchange rates: | 1.52 (2012 est.) |
