| Economy | Bulgaria |
| Stock of domestic credit: | $37.12 billion (31 December 2012 est.) |
| Stock of domestic credit: | $35.54 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $8.253 billion (31 December 2011) |
| Market value of publicly traded shares: | $7.276 billion (31 December 2010) |
| Market value of publicly traded shares: | $7.103 billion (31 December 2009) |
| Current account balance: | $-669.5 million (2012 est.) |
| Current account balance: | $46.07 million (2011 est.) |
| Exports: | $26.7 billion (2012 est.) |
| Exports: | $28.2 billion (2011 est.) |
| Exports - commodities: | clothing, footwear, iron and steel, machinery and equipment, fuels |
| Exports - partners: | Germany 10.4%, Turkey 9.1%, Italy 8.7%, Romania 8.2%, Greece 7.3%, France 4% (2012) |
| Imports: | $31.15 billion (2012 est.) |
| Imports: | $31.2 billion (2011 est.) |
| Imports - commodities: | machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials |
| Imports - partners: | Russia 20.9%, Germany 11.3%, Italy 6.7%, Romania 6.6%, Greece 6.1%, Turkey 4.6%, Spain 4.5% (2012) |
| Reserves of foreign exchange and gold: | $20.5 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $17.27 billion (31 December 2011 est.) |
| Debt - external: | $36.52 billion (31 December 2012 est.) |
| Debt - external: | $39.93 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $52.21 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $51.19 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.82 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.823 billion (31 December 2011 est.) |
| Exchange rates: | leva (BGN) per US dollar - |
| Exchange rates: | 1.52 (2012 est.) |
| Exchange rates: | 1.41 (2011 est.) |
| Exchange rates: | 1.48 (2010 est.) |
| Exchange rates: | 1.4 (2009) |
| Exchange rates: | 1.32 (2008) |
