| Economy | ITALY |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2012 est.) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Budget: | revenues: $870 billion |
| Budget: | expenditures: $917 billion (2015 est.) |
| Taxes and other revenues: | 47.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2015 est.) |
| Public debt: | 132.8% of GDP (2015 est.) |
| Public debt: | 132.4% of GDP (2014 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Inflation rate (consumer prices): | 0.2% (2014 est.) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | 0.75% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 4.13% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.87% (31 December 2014 est.) |
| Stock of narrow money: | $1.026 trillion (31 December 2015 est.) |
| Stock of narrow money: | $1.054 trillion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.134 trillion (31 December 2014 est.) |
| Stock of broad money: | $2.284 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.053 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $3.39 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $480.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $431.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $318.1 billion (31 December 2013 est.) |
| Current account balance: | $38.74 billion (2015 est.) |
| Current account balance: | $40.9 billion (2014 est.) |
| Exports: | $450.1 billion (2015 est.) |
| Exports: | $518.3 billion (2014 est.) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| Exports - partners: | Germany 12.3%, France 10.3%, US 8.7%, UK 5.4%, Spain 4.8%, Switzerland 4.7% (2015) |
| Imports: | $391.2 billion (2015 est.) |
| Imports: | $455.2 billion (2014 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| Imports - partners: | Germany 15.4%, France 8.7%, China 7.7%, Netherlands 5.6%, Spain 5%, Belgium 4.7% (2015) |
| Reserves of foreign exchange and gold: | $130.6 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $142.2 billion (31 December 2014 est.) |
| Debt - external: | $2.459 trillion (31 December 2014 est.) |
| Debt - external: | $2.635 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $463.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $493.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $594.4 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $632.3 billion (31 December 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
