| Economy | Italy |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 11.3% (2017 est.) |
| Unemployment rate: | 11.7% (2016 est.) |
| Population below poverty line: | 29.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 26.8% (2000) |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Distribution of family income - Gini index: | 31.9 (2012 est.) |
| Distribution of family income - Gini index: | 27.3 (1995) |
| Budget: | revenues: 903.3 billion (2017 est.) |
| Budget: | expenditures: 948.1 billion (2017 est.) |
| Taxes and other revenues: | 46.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.3% (of GDP) (2017 est.) |
| Public debt: | 131.8% of GDP (2017 est.) |
| Public debt: | 132% of GDP (2016 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises central, state, and local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Inflation rate (consumer prices): | -0.1% (2016 est.) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | 0.75% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 3.5% (31 December 2016 est.) |
| Stock of narrow money: | $1.347 trillion (31 December 2017 est.) |
| Stock of narrow money: | $1.101 trillion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $1.347 trillion (31 December 2017 est.) |
| Stock of broad money: | $1.101 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $3.422 trillion (31 December 2017 est.) |
| Stock of domestic credit: | $3.024 trillion (31 December 2016 est.) |
| Market value of publicly traded shares: | $587.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $615.5 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $480.5 billion (31 December 2012 est.) |
| Current account balance: | $53.42 billion (2017 est.) |
| Current account balance: | $47.64 billion (2016 est.) |
| Exports: | $496.3 billion (2017 est.) |
| Exports: | $454.1 billion (2016 est.) |
| Exports - partners: | Germany 12.5%, France 10.3%, US 9%, Spain 5.2%, UK 5.2%, Switzerland 4.6% (2017) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| Imports: | $432.9 billion (2017 est.) |
| Imports: | $389.8 billion (2016 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| Imports - partners: | Germany 16.3%, France 8.8%, China 7.1%, Netherlands 5.6%, Spain 5.3%, Belgium 4.5% (2017) |
| Reserves of foreign exchange and gold: | $151.2 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $130.6 billion (31 December 2015 est.) |
| Debt - external: | $2.444 trillion (31 March 2016 est.) |
| Debt - external: | $2.3 trillion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $552.1 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $471.7 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $671.8 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $584.1 billion (31 December 2016 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
