| Economy | Italy |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2013 est.) |
| Inflation rate (consumer prices): | 3% (2012 est.) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | 0.75% (31 December 2012) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.2% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.22% (31 December 2012 est.) |
| Stock of narrow money: | $1.138 trillion (31 December 2013 est.) |
| Stock of narrow money: | $1.162 trillion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $2.15 trillion (31 December 2013 est.) |
| Stock of broad money: | $2.134 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $3.407 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $3.438 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $480.5 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $431.5 billion (31 December 2011) |
| Market value of publicly traded shares: | $318.1 billion (31 December 2010 est.) |
| Current account balance: | -$2.4 billion (2013 est.) |
| Current account balance: | -$14.88 billion (2012 est.) |
| Exports: | $474 billion (2013 est.) |
| Exports: | $478.9 billion (2012 est.) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; food, beverages and tobacco; minerals, nonferrous metals |
| Exports - partners: | Germany 12.63%, France 11.11%, United States 6.84%, Switzerland 5.72%, United Kingdom 4.72%, Spain 4.48% (2013 est.) |
| Imports: | $435.8 billion (2013 est.) |
| Imports: | $453.5 billion (2012 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, and tobacco |
| Imports - partners: | Germany 14.73%, France 8.4%, China 8.4%, Russia 6.35%, Netherlands 5.85%, Spain 4.54%, Belgium 4.09% (2013 est.) |
| Reserves of foreign exchange and gold: | $181.7 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $173.3 billion (31 December 2011 est.) |
| Debt - external: | $2.604 trillion (31 December 2013 est.) |
| Debt - external: | $2.516 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $466.3 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $457.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $683.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $653.3 billion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
