| Economy | Italy |
| Industries: | tourism, machinery, iron and steel, chemicals, food processing, textiles, motor vehicles, clothing, footwear, ceramics |
| Industrial production growth rate: | 2.1% (2017 est.) |
| Labor force: | 22.92 million (2020 est.) |
| Labor force - by occupation: | agriculture: 3.9% |
| Labor force - by occupation: | industry: 28.3% |
| Labor force - by occupation: | services: 67.8% (2011) |
| Unemployment rate: | 9.88% (2019 est.) |
| Unemployment rate: | 10.63% (2018 est.) |
| Population below poverty line: | 29.9% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 26.8% (2000) |
| Budget: | revenues: 903.3 billion (2017 est.) |
| Budget: | expenditures: 948.1 billion (2017 est.) |
| Taxes and other revenues: | 46.6% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.3% (of GDP) (2017 est.) |
| Public debt: | 131.8% of GDP (2017 est.) |
| Public debt: | 132% of GDP (2016 est.) |
| Public debt: | note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises central, state, and local government and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | $59.517 billion (2019 est.) |
| Current account balance: | $51.735 billion (2018 est.) |
| Exports: | $687.34 billion (2019 est.) |
| Exports: | $678.788 billion (2018 est.) |
| Exports: | $667.866 billion (2017 est.) |
| Exports - partners: | Germany 12.5%, France 10.3%, US 9%, Spain 5.2%, UK 5.2%, Switzerland 4.6% (2017) |
| Exports - commodities: | engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; foodstuffs, beverages, and tobacco; minerals, nonferrous metals |
| Imports: | $647.058 billion (2019 est.) |
| Imports: | $649.963 billion (2018 est.) |
| Imports: | $631.54 billion (2017 est.) |
| Imports - commodities: | engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, tobacco |
| Imports - partners: | Germany 16.3%, France 8.8%, China 7.1%, Netherlands 5.6%, Spain 5.3%, Belgium 4.5% (2017) |
| Reserves of foreign exchange and gold: | $151.2 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $130.6 billion (31 December 2015 est.) |
| Debt - external: | $2.444 trillion (31 March 2016 est.) |
| Debt - external: | $2.3 trillion (31 March 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
