| Economy | MOROCCO |
| Exports - commodities: | clothing and textiles, automobiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| Exports - partners: | Spain 22.1%, France 19.7%, India 4.9%, US 4.3%, Italy 4.3% (2015) |
| Imports: | $32.74 billion (2015 est.) |
| Imports: | $40.68 billion (2014 est.) |
| Imports - commodities: | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| Imports - partners: | Spain 13.9%, France 12.4%, China 8.5%, US 6.5%, Germany 5.8%, Italy 5.5%, Russia 4.4%, Turkey 4.3% (2015) |
| Reserves of foreign exchange and gold: | $23.01 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $20.52 billion (31 December 2014 est.) |
| Debt - external: | $42.25 billion (31 December 2015 est.) |
| Debt - external: | $42.77 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $48.7 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $51.19 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $4.555 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.187 billion (31 December 2014 est.) |
| Exchange rates: | Moroccan dirhams (MAD) per US dollar - |
| Exchange rates: | 9.7351 (2015 est.) |
| Exchange rates: | 8.3798 (2014 est.) |
| Exchange rates: | 8.3798 (2013 est.) |
| Exchange rates: | 8.6 (2012 est.) |
| Exchange rates: | 8.0899 (2011 est.) |
