| Economy | Morocco |
| Unemployment rate: | 9.23% (2019 est.) |
| Unemployment rate: | 9.65% (2018 est.) |
| Population below poverty line: | 15% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 33.2% (2007) |
| Budget: | revenues: 22.81 billion (2017 est.) |
| Budget: | expenditures: 26.75 billion (2017 est.) |
| Taxes and other revenues: | 20.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.6% (of GDP) (2017 est.) |
| Public debt: | 65.1% of GDP (2017 est.) |
| Public debt: | 64.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | -$5.075 billion (2019 est.) |
| Current account balance: | -$6.758 billion (2018 est.) |
| Exports: | $48.565 billion (2019 est.) |
| Exports: | $46.608 billion (2018 est.) |
| Exports: | $44.033 billion (2017 est.) |
| Exports - partners: | Spain 23.2%, France 22.6%, Italy 4.5%, US 4.2% (2017) |
| Exports - commodities: | clothing and textiles, automobiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| Imports: | $64.12 billion (2019 est.) |
| Imports: | $61.535 billion (2018 est.) |
| Imports: | $57.257 billion (2017 est.) |
| Imports - commodities: | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| Imports - partners: | Spain 16.7%, France 12.2%, China 9.2%, US 6.9%, Germany 6%, Italy 5.9%, Turkey 4.5% (2017) |
| Reserves of foreign exchange and gold: | $26.27 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $25.37 billion (31 December 2016 est.) |
| Debt - external: | $51.48 billion (31 December 2017 est.) |
| Debt - external: | $44.65 billion (31 December 2016 est.) |
| Exchange rates: | Moroccan dirhams (MAD) per US dollar - |
| Exchange rates: | 9.0065 (2020 est.) |
| Exchange rates: | 9.657 (2019 est.) |
| Exchange rates: | 9.48825 (2018 est.) |
| Exchange rates: | 9.7351 (2014 est.) |
| Exchange rates: | 8.3798 (2013 est.) |
