| Economy | Morocco |
| Current account balance: | -$4.363 billion (2016 est.) |
| Exports: | $21.48 billion (2017 est.) |
| Exports: | $22.66 billion (2016 est.) |
| Exports - partners: | Spain 23.2%, France 22.6%, Italy 4.5%, US 4.2% (2017) |
| Exports - commodities: | clothing and textiles, automobiles, electric components, inorganic chemicals, transistors, crude minerals, fertilizers (including phosphates), petroleum products, citrus fruits, vegetables, fish |
| Imports: | $39.64 billion (2017 est.) |
| Imports: | $36.59 billion (2016 est.) |
| Imports - commodities: | crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics |
| Imports - partners: | Spain 16.7%, France 12.2%, China 9.2%, US 6.9%, Germany 6%, Italy 5.9%, Turkey 4.5% (2017) |
| Reserves of foreign exchange and gold: | $26.27 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $25.37 billion (31 December 2016 est.) |
| Debt - external: | $51.48 billion (31 December 2017 est.) |
| Debt - external: | $44.65 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $63.17 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $54.78 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $5.351 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $5.203 billion (31 December 2016 est.) |
| Exchange rates: | Moroccan dirhams (MAD) per US dollar - |
| Exchange rates: | 9.639 (2017 est.) |
| Exchange rates: | 9.7787 (2016 est.) |
| Exchange rates: | 9.7787 (2015 est.) |
| Exchange rates: | 9.7351 (2014 est.) |
| Exchange rates: | 8.3798 (2013 est.) |
