| Economy | UNITED STATES |
| Economy - overview: | In December 2012, the Federal Reserve Board (Fed) announced plans to purchase $85 billion per month of mortgage-backed and Treasury securities in an effort to hold down long-term interest rates, and to keep short term rates near zero until unemployment dropped below 6.5% or inflation rose above 2.5%. In late 2013, the Fed announced that it would begin scaling back long-term bond purchases to $75 billion per month in January 2014 and further reduce them as conditions warranted; the Fed ended the purchases during the summer of 2014. In 2014, the unemployment rate dropped to 6.2%, and continued to fall to 5.5% by mid-2015, the lowest rate of joblessness since before the global recession began; inflation stood at 1.7%, and public debt as a share of GDP continued to decline, following several years of increases. In December 2015, the Fed raised its target for the benchmark federal funds rate by 0.25%, the first increase since the recession began, but the Fed has opted to hold the target rate steady at 0.25%-0.5% through the first three quarters of 2016, with US GDP growth falling below 2% in each of those quarters. |
| GDP (purchasing power parity): | $17.95 trillion (2015 est.) |
| GDP (purchasing power parity): | $17.52 trillion (2014 est.) |
| GDP (purchasing power parity): | $17.11 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $17.95 trillion (2015 est.) |
| GDP - real growth rate: | 2.4% (2015 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 1.5% (2013 est.) |
| GDP - per capita (PPP): | $55,800 (2015 est.) |
| GDP - per capita (PPP): | $54,900 (2014 est.) |
| GDP - per capita (PPP): | $54,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.1% of GDP (2015 est.) |
| Gross national saving: | 14.2% of GDP (2014 est.) |
| Gross national saving: | 13.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 68.4% |
| GDP - composition, by end use: | government consumption: 17.7% |
| GDP - composition, by end use: | investment in fixed capital: 16.2% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 12.6% |
| GDP - composition, by end use: | imports of goods and services: -15.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.1% |
| GDP - composition, by sector of origin: | industry: 19.4% |
| GDP - composition, by sector of origin: | services: 79.5% |
| GDP - composition, by sector of origin: | (2015 est.) |
| Agriculture - products: | wheat, corn, other grains, fruits, vegetables, cotton; beef, pork, poultry, dairy products; fish; forest products |
| Industries: | highly diversified, world leading, high-technology innovator, second-largest industrial output in the world; petroleum, steel, motor vehicles, aerospace, telecommunications, chemicals, electronics, food processing, consumer goods, lumber, mining |
| Industrial production growth rate: | 1.9% (2015 est.) |
| Labor force: | 157.1 million |
| Labor force: | note: includes unemployed (2015 est.) |
| Labor force - by occupation: | farming, forestry, and fishing: 0.7% |
| Labor force - by occupation: | manufacturing, extraction, transportation, and crafts: 20.3% |
| Labor force - by occupation: | managerial, professional, and technical: 37.3% |
| Labor force - by occupation: | sales and office: 24.2% |
| Labor force - by occupation: | other services: 17.6% |
| Labor force - by occupation: | note: figures exclude the unemployed |
| Labor force - by occupation: | (2009) |
| Unemployment rate: | 5.3% (2015 est.) |
| Unemployment rate: | 6.2% (2014 est.) |
| Population below poverty line: | 15.1% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 30% (2007 est.) |
| Distribution of family income - Gini index: | 45 (2007) |
| Distribution of family income - Gini index: | 40.8 (1997) |
| Budget: | revenues: $3.249 trillion |
| Budget: | expenditures: $3.688 trillion |
| Budget: | note: for the US, revenues exclude social contributions of approximately $1.0 trillion; expenditures exclude social benefits of approximately $2.3 trillion (2015 est.) |
| Taxes and other revenues: | 18.1% of GDP |
| Taxes and other revenues: | note: excludes contributions for social security and other programs; if social contributions were added, taxes and other revenues would amount to approximately 22% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2015 est.) |
| Public debt: | 73.6% of GDP (2015 est.) |
| Public debt: | 74.4% of GDP (2014 est.) |
| Public debt: | note: data cover only what the United States Treasury denotes as "Debt Held by the Public," which includes all debt instruments issued by the Treasury that are owned by non-US Government entities; the data include Treasury debt held by foreign entities; the data exclude debt issued by individual US states, as well as intra-governmental debt; intra-governmental debt consists of Treasury borrowings from surpluses in the trusts for Federal Social Security, Federal Employees, Hospital Insurance (Medicare and Medicaid), Disability and Unemployment, and several other smaller trusts; if data for intra-government debt were added, "Gross Debt" would increase by about one-third of GDP |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Inflation rate (consumer prices): | 1.6% (2014 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 3.26% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 3.25% (31 December 2014 est.) |
| Stock of narrow money: | $3.022 trillion (31 December 2015 est.) |
| Stock of narrow money: | $2.811 trillion (31 December 2014 est.) |
| Stock of broad money: | $11.79 trillion (31 December 2014 est.) |
| Stock of broad money: | $10.69 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $19.23 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $18.66 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $18.67 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $15.64 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $17.14 trillion (31 December 2013 est.) |
| Current account balance: | -$484.1 billion (2015 est.) |
| Current account balance: | -$389.5 billion (2014 est.) |
| Exports: | $1.51 trillion (2015 est.) |
| Exports: | $1.633 trillion (2014 est.) |
| Exports - commodities: | agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0% (2008 est.) |
| Exports - partners: | Canada 18.6%, Mexico 15.7%, China 7.7%, Japan 4.2% (2015) |
| Imports: | $2.273 trillion (2015 est.) |
| Imports: | $2.386 trillion (2014 est.) |
| Imports - commodities: | agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys) (2008 est.) |
| Imports - partners: | China 21.5%, Canada 13.2%, Mexico 13.2%, Japan 5.9%, Germany 5.5% (2015) |
| Reserves of foreign exchange and gold: | $117.6 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $130.1 billion (31 December 2014 est.) |
| Debt - external: | $17.26 trillion (31 December 2014 est.) |
| Debt - external: | $16.49 trillion (31 December 2013 est.) |
| Debt - external: | note: approximately 4/5ths of US external debt is denominated in US dollars; foreign lenders have been willing to hold US dollar denominated debt instruments because they view the dollar as the world's reserve currency |
| Stock of direct foreign investment - at home: | $3.28 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $2.901 trillion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $5.269 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $4.921 trillion (31 December 2014 est.) |
| Exchange rates: | British pounds per US dollar: 0.6528 (2015 est.), 0.607 (2014 est), 0.6391 (2013 est.), 0.6324 (2012 est.), 0.624 (2011 est.) |
| Exchange rates: | Canadian dollars per US dollar: 1 (2015 est.), 1.275 (2015 est.), 1.1047 (2014 est.), 1.0298 (2013 est.), 0.9992 (2012 est.), 0.9895 (2011 est) |
| Exchange rates: | Chinese yuan per US dollar: 1 (2014 est.), 6.243 (2015 est.), 6.1434 (2014 est.), 6.1958 (2013 est.), 6.3123 (2012 est.), 6.4615 (2011 est.) |
| Exchange rates: | euros per US dollar: (2012 est.), 0.885 (2015 est.), 0.7525 (2014 est.), 0.7634 (2013 est.), 0.7752 (2012 est.), 0.7185 (2011 est.) |
| Exchange rates: | Japanese yen per US dollar: 122.10 (2015 est.), 105.86 (2014 est.), 97.44 (2013 est.), 79.79 (2012 est.), 79.81 (2011 est.) |
