| Economy | UNITED STATES |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Central bank discount rate: | 0.5% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 3.51% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 3.26% (31 December 2015 est.) |
| Stock of narrow money: | $3.25 trillion (31 December 2016 est.) |
| Stock of narrow money: | $3.021 trillion (31 December 2015 est.) |
| Stock of broad money: | $13.17 trillion (31 December 2016 est.) |
| Stock of broad money: | $12.02 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $20.24 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $19.26 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $25.07 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $26.33 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $24.03 trillion (31 December 2013 est.) |
| Current account balance: | $-451.7 billion (2016 est.) |
| Current account balance: | $-434.6 billion (2015 est.) |
| Exports: | $1.456 trillion (2016 est.) |
| Exports: | $1.511 trillion (2015 est.) |
| Exports - commodities: | agricultural products (soybeans, fruit, corn) 9.2%, industrial supplies (organic chemicals) 26.8%, capital goods (transistors, aircraft, motor vehicle parts, computers, telecommunications equipment) 49.0%, consumer goods (automobiles, medicines) 15.0% (2008 est.) |
| Exports - partners: | Canada 18.3%, Mexico 15.9%, China 8%, Japan 4.4% (2016) |
| Imports: | $2.208 trillion (2016 est.) |
| Imports: | $2.273 trillion (2015 est.) |
| Imports - commodities: | agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys) (2008 est.) |
| Imports - partners: | China 21.1%, Mexico 13.4%, Canada 12.7%, Japan 6%, Germany 5.2% (2016) |
| Reserves of foreign exchange and gold: | $117.3 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $117.6 billion (31 December 2015 est.) |
| Debt - external: | $17.91 trillion (31 March 2016 est.) |
| Debt - external: | $17.85 trillion (31 March 2015 est.) |
| Debt - external: | note: approximately 4/5ths of US external debt is denominated in US dollars; foreign lenders have been willing to hold US dollar denominated debt instruments because they view the dollar as the world's reserve currency |
| Stock of direct foreign investment - at home: | $3.614 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $3.134 trillion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $5.352 trillion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $5.041 trillion (31 December 2015 est.) |
| Exchange rates: | British pounds per US dollar: 0.7391 (2016 est.), 0.6542 (2015 est.), 0.607 (2014 est), 0.6391 (2013 est.), 0.6324 (2012 est.) |
| Exchange rates: | Canadian dollars per US dollar: 1, 1.331 (2016 est.), 1.2788 (2015 est.), 1.1047 (2014 est.), 1.0298 (2013 est.), 0.9992 (2012 est.) |
| Exchange rates: | Chinese yuan per US dollar: 1, 6.626 (2016 est.) 6.2275 (2015 est.), 6.1434 (2014 est.), 6.1958 (2013 est.), 6.3123 (2012 est.) |
| Exchange rates: | euros per US dollar: 0.9214 (2016 est.), 0.885 (2015 est.), 0.7525 (2014 est.), 0.7634 (2013 est.), 0.7752 (2012 est.) |
| Exchange rates: | Japanese yen per US dollar: 107.1 (2016 est.), 121.02 (2015 est.), 105.86 (2014 est.), 97.44 (2013 est.), 79.79 (2012 est.) |
