| Economy | United States |
| Imports - commodities: | agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys) |
| Imports - partners: | China 19%, Canada 14.1%, Mexico 12%, Japan 6.4%, Germany 4.7% (2012) |
| Reserves of foreign exchange and gold: | $150.2 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $148 billion (31 December 2011 est.) |
| Debt - external: | $15.68 trillion (31 December 2012 est.) |
| Debt - external: | $15.51 trillion (31 December 2011) |
| Debt - external: | note: approximately 4/5ths of US external debt is denominated in US dollars; foreign lenders have been willing to hold US dollar denominated debt instruments because they view the dollar as the world's reserve currency |
| Stock of direct foreign investment - at home: | $2.815 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $2.651 trillion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $4.854 trillion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $4.453 trillion (31 December 2012 est.) |
| Exchange rates: | British pounds per US dollar: 0.6324 (2012 est.), 0.624 (2011 est.), 0.6472 (2010), 0.6175 (2009), 0.5302 (2008) |
| Exchange rates: | Canadian dollars per US dollar: (2013 est.), 1.001 (2012 est.), 0.9895 (2011 est), 1.0302 (2010 est.), 1.1431 (2009), 1.0364 (2008) |
| Exchange rates: | Chinese yuan per US dollar: (2012 est.), 6.311 (2012 est.), 6.4615 (20111 est.), 6.7703 (2010 est.), 6.8314 (2009), 6.9385 (2008) |
| Exchange rates: | euros per US dollar: 0.7838 (2012 est.), 0.7185 (2011 est.), 0.755 (2010 est.), 0.7198 (2009), 0.6827 (2008) |
| Exchange rates: | Japanese yen per US dollar: 79.42 (2012 est.), 79.81 (2011 est.), 87.78 (2010), 93.57 (2009), 103.58 (2008) |
