| Economy | PANAMA |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.7% (2016 est.) |
| Inflation rate (consumer prices): | 0.1% (2015 est.) |
| Commercial bank prime lending rate: | 7.53% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.46% (31 December 2015 est.) |
| Stock of narrow money: | $8.249 billion (31 December 2016 est.) |
| Stock of narrow money: | $8.215 billion (31 December 2015 est.) |
| Stock of broad money: | $38.14 billion (31 December 2016 est.) |
| Stock of broad money: | $36.19 billion (31 December 2015 est.) |
| Stock of domestic credit: | $46.41 billion (31 December 2016 est.) |
| Stock of domestic credit: | $42.98 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $12.54 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $8.348 billion (31 December 2010 est.) |
| Current account balance: | $-3.151 billion (2016 est.) |
| Current account balance: | $-3.809 billion (2015 est.) |
| Exports: | $14.7 billion (2016 est.) |
| Exports: | $15.93 billion (2015 est.) |
| Exports: | note: includes the Colon Free Zone |
| Exports - commodities: | fruit and nuts, fish, iron and steel waste, wood |
| Exports - partners: | US 21.4%, Netherlands 15.2%, Costa Rica 6%, China 5.6% (2016) |
| Imports: | $22.08 billion (2016 est.) |
| Imports: | $22.48 billion (2015 est.) |
| Imports: | note: includes the Colon Free Zone |
| Imports - commodities: | fuels, machinery, vehicles, iron and steel rods, pharmaceuticals |
| Imports - partners: | US 25.7%, China 9.2%, Mexico 5.3% (2016) |
| Reserves of foreign exchange and gold: | $3.878 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $3.378 billion (31 December 2015 est.) |
| Debt - external: | $83.81 billion (31 December 2016 est.) |
| Debt - external: | $87.72 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $50.62 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $44.64 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $10.71 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $9.792 billion (31 December 2015 est.) |
| Exchange rates: | balboas (PAB) per US dollar - |
| Exchange rates: | 1 (2016 est.) |
| Exchange rates: | 1 (2015 est.) |
| Exchange rates: | 1 (2014 est.) |
| Exchange rates: | 1 (2013 est.) |
| Exchange rates: | 1 (2012 est.) |
