| Economy | Uganda |
| Inflation rate (consumer prices): | 6.2% (2013 est.) |
| Inflation rate (consumer prices): | 14% (2012 est.) |
| Central bank discount rate: | 14% (31 December 2010 est.) |
| Central bank discount rate: | 9.65% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 23.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 26.31% (31 December 2012 est.) |
| Stock of narrow money: | $2.455 billion (31 December 2013 est.) |
| Stock of narrow money: | $2.015 billion (31 December 2012 est.) |
| Stock of broad money: | $4.049 billion (31 December 2013 est.) |
| Stock of broad money: | $3.293 billion (31 December 2012 est.) |
| Stock of domestic credit: | $3.67 billion (31 December 2013 est.) |
| Stock of domestic credit: | $3.042 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.294 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.727 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.788 billion (31 December 2011 est.) |
| Current account balance: | -$1.908 billion (2013 est.) |
| Current account balance: | -$2.232 billion (2012 est.) |
| Exports: | $3.156 billion (2013 est.) |
| Exports: | $2.811 billion (2012 est.) |
| Exports - commodities: | coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold |
| Exports - partners: | Kenya 12.3%, Rwanda 10.3%, UAE 10.2%, Democratic Republic of the Congo 9.4%, Netherlands 6.1%, Germany 5.6%, Italy 4.4% (2012) |
| Imports: | $4.858 billion (2013 est.) |
| Imports: | $5.187 billion (2012 est.) |
| Imports - commodities: | capital equipment, vehicles, petroleum, medical supplies; cereals |
| Imports - partners: | Kenya 15.6%, UAE 15.4%, China 12.8%, India 11.7%, South Africa 4.1%, Japan 4% (2012) |
| Reserves of foreign exchange and gold: | $3.579 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $3.167 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | note: excludes gold |
| Debt - external: | $5.223 billion (31 December 2013 est.) |
| Debt - external: | $4.461 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Ugandan shillings (UGX) per US dollar - |
| Exchange rates: | 2,604.6 (2013 est.) |
| Exchange rates: | 2,505.6 (2012 est.) |
| Exchange rates: | 2,177.6 (2010 est.) |
| Exchange rates: | 2,030 (2009) |
| Exchange rates: | 1,658.1 (2008) |
