| Economy | UGANDA |
| Stock of domestic credit: | $3.989 billion (31 December 2016 est.) |
| Stock of domestic credit: | $3.946 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.294 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.727 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.788 billion (31 December 2011 est.) |
| Current account balance: | $-1.09 billion (2016 est.) |
| Current account balance: | $-1.794 billion (2015 est.) |
| Exports: | $2.921 billion (2016 est.) |
| Exports: | $2.667 billion (2015 est.) |
| Exports - commodities: | coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold |
| Exports - partners: | Kenya 20.9%, UAE 11.2%, Rwanda 9.5%, Democratic Republic of the Congo 8.9%, Italy 4.5% (2016) |
| Imports: | $4.326 billion (2016 est.) |
| Imports: | $4.955 billion (2015 est.) |
| Imports - commodities: | capital equipment, vehicles, petroleum, medical supplies; cereals |
| Imports - partners: | China 17.9%, India 17.2%, UAE 9.5%, Kenya 9.2%, Japan 5.2%, South Africa 4.5%, Saudi Arabia 4.4% (2016) |
| Reserves of foreign exchange and gold: | $3.034 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.843 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | note: excludes gold |
| Debt - external: | $6.408 billion (31 December 2016 est.) |
| Debt - external: | $5.756 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Ugandan shillings (UGX) per US dollar - |
| Exchange rates: | 3,420.1 (2016 est.) |
| Exchange rates: | 3,420.1 (2015 est.) |
| Exchange rates: | 3,234.1 (2014 est.) |
| Exchange rates: | 2,599.8 (2013 est.) |
| Exchange rates: | 2,505.6 (2012 est.) |
