| Economy | Uganda |
| GDP - composition, by end use: | investment in inventories: 0.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 18.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -25.1% (2017 est.) |
| Ease of Doing Business Index scores: | 66.7 (2020) |
| Agriculture - products: | coffee, tea, cotton, tobacco, cassava (manioc, tapioca), potatoes, corn, millet, pulses, cut flowers; beef, goat meat, milk, poultry, and fish |
| Industries: | sugar processing, brewing, tobacco, cotton textiles; cement, steel production |
| Industrial production growth rate: | 4.4% (2017 est.) |
| Labor force: | 15.84 million (2015 est.) |
| Labor force - by occupation: | agriculture: 71% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 22% (2013 est.) |
| Unemployment rate: | 9.4% (2014 est.) |
| Population below poverty line: | 21.4% (2017 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2009 est.) |
| Budget: | revenues: 3.848 billion (2017 est.) |
| Budget: | expenditures: 4.928 billion (2017 est.) |
| Taxes and other revenues: | 14.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -4.1% (of GDP) (2017 est.) |
| Public debt: | 40% of GDP (2017 est.) |
| Public debt: | 37.4% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Current account balance: | -$1.212 billion (2017 est.) |
| Current account balance: | -$707 million (2016 est.) |
| Exports: | $7.686 billion (2019 est.) |
| Exports: | $6.511 billion (2018 est.) |
| Exports: | $5.958 billion (2017 est.) |
| Exports - partners: | Kenya 17.7%, UAE 16.7%, Democratic Republic of the Congo 6.6%, Rwanda 6.1%, Italy 4.8% (2017) |
| Exports - commodities: | coffee, fish and fish products, tea, cotton, flowers, horticultural products; gold |
| Imports: | $9.991 billion (2019 est.) |
| Imports: | $8.006 billion (2018 est.) |
| Imports: | $7.44 billion (2017 est.) |
| Imports - commodities: | capital equipment, vehicles, petroleum, medical supplies; cereals |
| Imports - partners: | China 17.4%, India 13.4%, UAE 12.2%, Kenya 7.9%, Japan 6.4%, Saudi Arabia 6.3%, Indonesia 4.4%, South Africa 4.1% (2017) |
| Reserves of foreign exchange and gold: | $3.654 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $3.034 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | note: excludes gold |
| Debt - external: | $10.8 billion (22 March 2018 est.) |
| Debt - external: | $11.54 billion (31 December 2017 est.) |
| Debt - external: | $6.241 billion (31 December 2016 est.) |
| Exchange rates: | Ugandan shillings (UGX) per US dollar - |
| Exchange rates: | 3,680 (2020 est.) |
| Exchange rates: | 3,685 (2019 est.) |
| Exchange rates: | 3,735 (2018 est.) |
| Exchange rates: | 3,234.1 (2014 est.) |
| Exchange rates: | 2,599.8 (2013 est.) |
