| Economy | Ethiopia |
| GDP - per capita (PPP): | $1,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 32.1% of GDP (2017 est.) |
| Gross national saving: | 32.7% of GDP (2016 est.) |
| Gross national saving: | 32.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 69.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 10% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 43.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 8.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -31.2% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 34.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 21.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 43.6% (2017 est.) |
| Agriculture - products: | cereals, coffee, oilseed, cotton, sugarcane, vegetables, khat, cut flowers; hides, cattle, sheep, goats; fish |
| Industries: | food processing, beverages, textiles, leather, garments, chemicals, metals processing, cement |
| Industrial production growth rate: | 10.5% (2017 est.) |
| Labor force: | 52.82 million (2017 est.) |
| Labor force - by occupation: | agriculture: 72.7% |
| Labor force - by occupation: | industry: 7.4% |
| Labor force - by occupation: | services: 19.9% (2013 est.) |
| Unemployment rate: | 17.5% (2012 est.) |
| Unemployment rate: | 18% (2011 est.) |
| Population below poverty line: | 29.6% (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 25.6% (2005) |
| Household income or consumption by percentage share: | highest 10%: 25.6% (2005) |
| Distribution of family income - Gini index: | 33 (2011) |
| Distribution of family income - Gini index: | 30 (2000) |
| Budget: | revenues: 11.24 billion (2017 est.) |
| Budget: | expenditures: 13.79 billion (2017 est.) |
| Taxes and other revenues: | 13.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -3.2% (of GDP) (2017 est.) |
| Public debt: | 54.2% of GDP (2017 est.) |
| Public debt: | 53.2% of GDP (2016 est.) |
| Fiscal year: | 8 July - 7 July |
| Inflation rate (consumer prices): | 9.9% (2017 est.) |
| Inflation rate (consumer prices): | 7.3% (2016 est.) |
| Central bank discount rate: | NA |
| Commercial bank prime lending rate: | 13.5% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 12.2% (31 December 2016 est.) |
| Stock of narrow money: | $9.042 billion (31 December 2017 est.) |
| Stock of narrow money: | $8.757 billion (31 December 2016 est.) |
| Stock of broad money: | $9.042 billion (31 December 2017 est.) |
| Stock of broad money: | $8.757 billion (31 December 2016 est.) |
| Stock of domestic credit: | $27.66 billion (31 December 2017 est.) |
| Stock of domestic credit: | $25.78 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$6.551 billion (2017 est.) |
| Current account balance: | -$6.574 billion (2016 est.) |
| Exports: | $3.23 billion (2017 est.) |
| Exports: | $2.814 billion (2016 est.) |
| Exports - partners: | Sudan 23.3%, Switzerland 10.2%, China 8.1%, Somalia 6.6%, Netherlands 6.2%, US 4.7%, Germany 4.7%, Saudi Arabia 4.6%, UK 4.6% (2017) |
| Exports - commodities: | coffee (27%, by value), oilseeds (17%), edible vegetables including khat (17%), gold (13%), flowers (7%), live animals (7%), raw leather products (3%), meat products (3%) |
| Imports: | $15.59 billion (2017 est.) |
| Imports: | $14.69 billion (2016 est.) |
| Imports - commodities: | machinery and aircraft (14%, by value), metal and metal products, (14%), electrical materials, (13%), petroleum products (12%), motor vehicles, (10%), chemicals and fertilizers (4%) |
| Imports - partners: | China 24.1%, Saudi Arabia 10.1%, India 6.4%, Kuwait 5.3%, France 5.2% (2017) |
| Reserves of foreign exchange and gold: | $3.013 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $3.022 billion (31 December 2016 est.) |
| Debt - external: | $26.05 billion (31 December 2017 est.) |
| Debt - external: | $24.82 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | (31 December 2009 est.) |
| Exchange rates: | birr (ETB) per US dollar - |
| Exchange rates: | 25 (2017 est.) |
| Exchange rates: | 21.732 (2016 est.) |
| Exchange rates: | 21.732 (2015 est.) |
| Exchange rates: | 21.55 (2014 est.) |
| Exchange rates: | 19.8 (2013 est.) |
